id_registro,fecha_semana,anio,mes,tipo_residuo,descripcion,kg_generados,kg_reciclados,kg_disposicion,operador_retiro,tasa_reciclaje
RES-001024,2018-01-29,2018,1,Embalaje cartón,Cajas y embalajes de productos,16.28,3.38,12.9,Municipal,20.761670761670757
RES-001025,2018-01-29,2018,1,Plástico,"Film, espumas y plásticos varios",10.1,0.0,10.1,Municipal,0.0
RES-001026,2018-01-29,2018,1,E-waste,Componentes y productos defectuosos,4.87,0.93,3.94,VerdeLogística,19.096509240246405
RES-001027,2018-01-29,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.1,0.34,1.76,VerdeLogística,16.19047619047619
RES-001028,2018-01-29,2018,1,Residuo general,Residuos de oficina y comedor,8.29,0.0,8.29,Municipal,0.0
RES-001029,2018-01-29,2018,1,Papel y cartón of.,Papel de impresión y documentos,2.9,0.58,2.32,VerdeLogística,20.0
RES-001030,2018-02-05,2018,2,Embalaje cartón,Cajas y embalajes de productos,22.02,3.43,18.59,Municipal,15.57674841053588
RES-001031,2018-02-05,2018,2,Plástico,"Film, espumas y plásticos varios",10.89,0.0,10.89,VerdeLogística,0.0
RES-001032,2018-02-05,2018,2,E-waste,Componentes y productos defectuosos,5.31,0.95,4.36,EcoRetiro SA,17.890772128060263
RES-001033,2018-02-05,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.08,0.34,1.74,Municipal,16.346153846153847
RES-001034,2018-02-05,2018,2,Residuo general,Residuos de oficina y comedor,7.17,0.0,7.17,EcoRetiro SA,0.0
RES-001035,2018-02-05,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.76,0.48,2.28,EcoRetiro SA,17.391304347826086
RES-001036,2018-02-12,2018,2,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.68,23.52,VerdeLogística,16.595744680851062
RES-001037,2018-02-12,2018,2,Plástico,"Film, espumas y plásticos varios",8.32,0.0,8.32,VerdeLogística,0.0
RES-001038,2018-02-12,2018,2,E-waste,Componentes y productos defectuosos,6.65,1.08,5.57,EcoRetiro SA,16.2406015037594
RES-001039,2018-02-12,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.39,1.63,Municipal,19.306930693069308
RES-001040,2018-02-12,2018,2,Residuo general,Residuos de oficina y comedor,8.26,0.0,8.26,EcoRetiro SA,0.0
RES-001041,2018-02-12,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.37,0.4,1.97,EcoRetiro SA,16.877637130801688
RES-001042,2018-02-19,2018,2,Embalaje cartón,Cajas y embalajes de productos,17.54,3.42,14.12,Municipal,19.49828962371722
RES-001043,2018-02-19,2018,2,Plástico,"Film, espumas y plásticos varios",10.99,0.0,10.99,VerdeLogística,0.0
RES-001044,2018-02-19,2018,2,E-waste,Componentes y productos defectuosos,6.33,1.14,5.19,Municipal,18.00947867298578
RES-001045,2018-02-19,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,1.93,0.33,1.6,EcoRetiro SA,17.098445595854926
RES-001046,2018-02-19,2018,2,Residuo general,Residuos de oficina y comedor,5.79,0.0,5.79,Municipal,0.0
RES-001047,2018-02-19,2018,2,Papel y cartón of.,Papel de impresión y documentos,3.23,0.53,2.71,Municipal,16.408668730650156
RES-001048,2018-02-26,2018,2,Embalaje cartón,Cajas y embalajes de productos,16.46,3.35,13.11,Municipal,20.352369380315917
RES-001049,2018-02-26,2018,2,Plástico,"Film, espumas y plásticos varios",8.62,0.0,8.62,Municipal,0.0
RES-001050,2018-02-26,2018,2,E-waste,Componentes y productos defectuosos,5.7,1.01,4.69,VerdeLogística,17.719298245614034
RES-001051,2018-02-26,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.34,0.36,1.98,EcoRetiro SA,15.384615384615385
RES-001052,2018-02-26,2018,2,Residuo general,Residuos de oficina y comedor,8.36,0.0,8.36,EcoRetiro SA,0.0
RES-001053,2018-02-26,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.98,0.56,2.42,VerdeLogística,18.79194630872483
RES-001054,2018-03-05,2018,3,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.87,18.44,EcoRetiro SA,17.346481398476023
RES-001055,2018-03-05,2018,3,Plástico,"Film, espumas y plásticos varios",10.81,0.0,10.81,VerdeLogística,0.0
RES-001056,2018-03-05,2018,3,E-waste,Componentes y productos defectuosos,4.88,0.83,4.05,VerdeLogística,17.008196721311474
RES-001057,2018-03-05,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,1.93,0.3,1.63,Municipal,15.544041450777202
RES-001058,2018-03-05,2018,3,Residuo general,Residuos de oficina y comedor,7.2,0.0,7.2,EcoRetiro SA,0.0
RES-001059,2018-03-05,2018,3,Papel y cartón of.,Papel de impresión y documentos,2.91,0.56,2.35,EcoRetiro SA,19.243986254295535
RES-001060,2018-03-12,2018,3,Embalaje cartón,Cajas y embalajes de productos,21.87,3.2,18.68,Municipal,14.63191586648377
RES-001061,2018-03-12,2018,3,Plástico,"Film, espumas y plásticos varios",9.54,0.0,9.54,Municipal,0.0
RES-001062,2018-03-12,2018,3,E-waste,Componentes y productos defectuosos,5.11,0.81,4.3,VerdeLogística,15.851272015655576
RES-001063,2018-03-12,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.1,0.39,1.71,EcoRetiro SA,18.571428571428573
RES-001064,2018-03-12,2018,3,Residuo general,Residuos de oficina y comedor,8.19,0.0,8.19,VerdeLogística,0.0
RES-001065,2018-03-12,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.17,0.61,2.56,VerdeLogística,19.242902208201894
RES-001066,2018-03-19,2018,3,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.4,19.55,VerdeLogística,21.65196471531676
RES-001067,2018-03-19,2018,3,Plástico,"Film, espumas y plásticos varios",11.6,0.0,11.6,Municipal,0.0
RES-001068,2018-03-19,2018,3,E-waste,Componentes y productos defectuosos,5.7,0.85,4.85,VerdeLogística,14.912280701754385
RES-001069,2018-03-19,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.56,0.45,2.11,EcoRetiro SA,17.578125
RES-001070,2018-03-19,2018,3,Residuo general,Residuos de oficina y comedor,8.2,0.0,8.2,EcoRetiro SA,0.0
RES-001071,2018-03-19,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.21,0.57,2.64,VerdeLogística,17.75700934579439
RES-001072,2018-03-26,2018,3,Embalaje cartón,Cajas y embalajes de productos,22.04,3.83,18.21,EcoRetiro SA,17.37749546279492
RES-001073,2018-03-26,2018,3,Plástico,"Film, espumas y plásticos varios",5.68,0.0,5.68,Municipal,0.0
RES-001074,2018-03-26,2018,3,E-waste,Componentes y productos defectuosos,4.54,0.78,3.76,EcoRetiro SA,17.180616740088105
RES-001075,2018-03-26,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.38,1.63,VerdeLogística,18.81188118811881
RES-001076,2018-03-26,2018,3,Residuo general,Residuos de oficina y comedor,6.85,0.0,6.85,Municipal,0.0
RES-001077,2018-03-26,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.31,0.58,2.73,VerdeLogística,17.5226586102719
RES-001078,2018-04-02,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.06,18.4,EcoRetiro SA,18.076580587711486
RES-001079,2018-04-02,2018,4,Plástico,"Film, espumas y plásticos varios",10.55,0.0,10.55,VerdeLogística,0.0
RES-001080,2018-04-02,2018,4,E-waste,Componentes y productos defectuosos,5.31,0.99,4.32,Municipal,18.64406779661017
RES-001081,2018-04-02,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.22,0.42,1.8,Municipal,18.918918918918916
RES-001082,2018-04-02,2018,4,Residuo general,Residuos de oficina y comedor,6.75,0.0,6.75,EcoRetiro SA,0.0
RES-001083,2018-04-02,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.78,0.53,2.25,Municipal,19.064748201438853
RES-001084,2018-04-09,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.86,19.41,Municipal,16.587881392350663
RES-001085,2018-04-09,2018,4,Plástico,"Film, espumas y plásticos varios",9.56,0.0,9.56,EcoRetiro SA,0.0
RES-001086,2018-04-09,2018,4,E-waste,Componentes y productos defectuosos,6.14,1.21,4.94,VerdeLogística,19.706840390879478
RES-001087,2018-04-09,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.31,0.42,1.89,VerdeLogística,18.18181818181818
RES-001088,2018-04-09,2018,4,Residuo general,Residuos de oficina y comedor,7.93,0.0,7.93,Municipal,0.0
RES-001089,2018-04-09,2018,4,Papel y cartón of.,Papel de impresión y documentos,3.5,0.59,2.91,VerdeLogística,16.857142857142858
RES-001090,2018-04-16,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.24,21.99,Municipal,19.24348145427837
RES-001091,2018-04-16,2018,4,Plástico,"Film, espumas y plásticos varios",10.5,0.0,10.5,Municipal,0.0
RES-001092,2018-04-16,2018,4,E-waste,Componentes y productos defectuosos,4.11,0.7,3.41,Municipal,17.0316301703163
RES-001093,2018-04-16,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,1.82,0.37,1.44,EcoRetiro SA,20.32967032967033
RES-001094,2018-04-16,2018,4,Residuo general,Residuos de oficina y comedor,6.51,0.0,6.51,EcoRetiro SA,0.0
RES-001095,2018-04-16,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.52,0.4,2.12,Municipal,15.873015873015875
RES-001096,2018-04-23,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.2,18.22,VerdeLogística,18.733273862622656
RES-001097,2018-04-23,2018,4,Plástico,"Film, espumas y plásticos varios",12.12,0.0,12.12,VerdeLogística,0.0
RES-001098,2018-04-23,2018,4,E-waste,Componentes y productos defectuosos,5.18,0.86,4.32,Municipal,16.602316602316602
RES-001099,2018-04-23,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.47,0.52,1.95,Municipal,21.052631578947366
RES-001100,2018-04-23,2018,4,Residuo general,Residuos de oficina y comedor,5.52,0.0,5.52,EcoRetiro SA,0.0
RES-001101,2018-04-23,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.77,0.51,2.26,VerdeLogística,18.4115523465704
RES-001102,2018-04-30,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.37,19.05,Municipal,21.990171990171987
RES-001103,2018-04-30,2018,4,Plástico,"Film, espumas y plásticos varios",8.71,0.0,8.71,Municipal,0.0
RES-001104,2018-04-30,2018,4,E-waste,Componentes y productos defectuosos,4.55,0.76,3.8,VerdeLogística,16.703296703296704
RES-001105,2018-04-30,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.33,0.42,1.91,VerdeLogística,18.02575107296137
RES-001106,2018-04-30,2018,4,Residuo general,Residuos de oficina y comedor,9.3,0.0,9.3,Municipal,0.0
RES-001107,2018-04-30,2018,4,Papel y cartón of.,Papel de impresión y documentos,3.29,0.55,2.74,EcoRetiro SA,16.717325227963528
RES-001108,2018-05-07,2018,5,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.41,21.41,VerdeLogística,20.17151379567487
RES-001109,2018-05-07,2018,5,Plástico,"Film, espumas y plásticos varios",11.58,0.0,11.58,VerdeLogística,0.0
RES-001110,2018-05-07,2018,5,E-waste,Componentes y productos defectuosos,4.34,0.8,3.54,VerdeLogística,18.433179723502306
RES-001111,2018-05-07,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.67,0.29,1.37,VerdeLogística,17.365269461077844
RES-001112,2018-05-07,2018,5,Residuo general,Residuos de oficina y comedor,7.24,0.0,7.24,EcoRetiro SA,0.0
RES-001113,2018-05-07,2018,5,Papel y cartón of.,Papel de impresión y documentos,3.13,0.59,2.54,VerdeLogística,18.849840255591054
RES-001114,2018-05-14,2018,5,Embalaje cartón,Cajas y embalajes de productos,21.6,4.36,17.24,EcoRetiro SA,20.185185185185187
RES-001115,2018-05-14,2018,5,Plástico,"Film, espumas y plásticos varios",11.4,0.0,11.4,VerdeLogística,0.0
RES-001116,2018-05-14,2018,5,E-waste,Componentes y productos defectuosos,5.65,1.19,4.46,EcoRetiro SA,21.061946902654867
RES-001117,2018-05-14,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.29,1.69,Municipal,14.646464646464647
RES-001118,2018-05-14,2018,5,Residuo general,Residuos de oficina y comedor,6.46,0.0,6.46,EcoRetiro SA,0.0
RES-001119,2018-05-14,2018,5,Papel y cartón of.,Papel de impresión y documentos,2.8,0.55,2.25,VerdeLogística,19.642857142857146
RES-001120,2018-05-21,2018,5,Embalaje cartón,Cajas y embalajes de productos,20.25,3.62,16.63,EcoRetiro SA,17.876543209876544
RES-001121,2018-05-21,2018,5,Plástico,"Film, espumas y plásticos varios",13.03,0.0,13.03,Municipal,0.0
RES-001122,2018-05-21,2018,5,E-waste,Componentes y productos defectuosos,5.69,1.19,4.5,VerdeLogística,20.913884007029875
RES-001123,2018-05-21,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.64,0.24,1.4,EcoRetiro SA,14.634146341463413
RES-001124,2018-05-21,2018,5,Residuo general,Residuos de oficina y comedor,5.69,0.0,5.69,VerdeLogística,0.0
RES-001125,2018-05-21,2018,5,Papel y cartón of.,Papel de impresión y documentos,3.49,0.61,2.87,Municipal,17.478510028653293
RES-001126,2018-05-28,2018,5,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.77,17.82,EcoRetiro SA,21.124889282550928
RES-001127,2018-05-28,2018,5,Plástico,"Film, espumas y plásticos varios",11.05,0.0,11.05,VerdeLogística,0.0
RES-001128,2018-05-28,2018,5,E-waste,Componentes y productos defectuosos,5.88,1.19,4.7,VerdeLogística,20.238095238095237
RES-001129,2018-05-28,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.95,0.36,1.59,Municipal,18.461538461538463
RES-001130,2018-05-28,2018,5,Residuo general,Residuos de oficina y comedor,6.14,0.0,6.14,EcoRetiro SA,0.0
RES-001131,2018-05-28,2018,5,Papel y cartón of.,Papel de impresión y documentos,2.66,0.47,2.19,VerdeLogística,17.669172932330827
RES-001132,2018-06-04,2018,6,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.68,18.98,VerdeLogística,19.78021978021978
RES-001133,2018-06-04,2018,6,Plástico,"Film, espumas y plásticos varios",11.26,0.0,11.26,EcoRetiro SA,0.0
RES-001134,2018-06-04,2018,6,E-waste,Componentes y productos defectuosos,7.86,1.74,6.12,VerdeLogística,22.13740458015267
RES-001135,2018-06-04,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,2.34,0.36,1.98,Municipal,15.384615384615385
RES-001136,2018-06-04,2018,6,Residuo general,Residuos de oficina y comedor,9.11,0.0,9.11,EcoRetiro SA,0.0
RES-001137,2018-06-04,2018,6,Papel y cartón of.,Papel de impresión y documentos,3.85,0.7,3.15,EcoRetiro SA,18.18181818181818
RES-001138,2018-06-11,2018,6,Embalaje cartón,Cajas y embalajes de productos,17.71,3.25,14.46,EcoRetiro SA,18.351214003387916
RES-001139,2018-06-11,2018,6,Plástico,"Film, espumas y plásticos varios",10.77,0.0,10.77,EcoRetiro SA,0.0
RES-001140,2018-06-11,2018,6,E-waste,Componentes y productos defectuosos,5.7,0.98,4.72,Municipal,17.19298245614035
RES-001141,2018-06-11,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.4,1.58,Municipal,20.202020202020204
RES-001142,2018-06-11,2018,6,Residuo general,Residuos de oficina y comedor,8.03,0.0,8.03,VerdeLogística,0.0
RES-001143,2018-06-11,2018,6,Papel y cartón of.,Papel de impresión y documentos,3.66,0.73,2.93,VerdeLogística,19.94535519125683
RES-001144,2018-06-18,2018,6,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.5,18.56,EcoRetiro SA,19.514310494362533
RES-001145,2018-06-18,2018,6,Plástico,"Film, espumas y plásticos varios",11.64,0.0,11.64,EcoRetiro SA,0.0
RES-001146,2018-06-18,2018,6,E-waste,Componentes y productos defectuosos,5.62,1.08,4.54,Municipal,19.21708185053381
RES-001147,2018-06-18,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.54,0.27,1.28,VerdeLogística,17.532467532467532
RES-001148,2018-06-18,2018,6,Residuo general,Residuos de oficina y comedor,7.33,0.0,7.33,VerdeLogística,0.0
RES-001149,2018-06-18,2018,6,Papel y cartón of.,Papel de impresión y documentos,2.54,0.46,2.08,VerdeLogística,18.11023622047244
RES-001150,2018-06-25,2018,6,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.53,24.26,Municipal,18.56327626720376
RES-001151,2018-06-25,2018,6,Plástico,"Film, espumas y plásticos varios",11.41,0.0,11.41,VerdeLogística,0.0
RES-001152,2018-06-25,2018,6,E-waste,Componentes y productos defectuosos,6.09,1.28,4.8,VerdeLogística,21.018062397372745
RES-001153,2018-06-25,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.33,1.65,VerdeLogística,16.666666666666668
RES-001154,2018-06-25,2018,6,Residuo general,Residuos de oficina y comedor,8.38,0.0,8.38,VerdeLogística,0.0
RES-001155,2018-06-25,2018,6,Papel y cartón of.,Papel de impresión y documentos,2.29,0.44,1.86,EcoRetiro SA,19.213973799126638
RES-001156,2018-07-02,2018,7,Embalaje cartón,Cajas y embalajes de productos,15.89,2.61,13.28,VerdeLogística,16.425424795468846
RES-001157,2018-07-02,2018,7,Plástico,"Film, espumas y plásticos varios",10.0,0.0,10.0,EcoRetiro SA,0.0
RES-001158,2018-07-02,2018,7,E-waste,Componentes y productos defectuosos,4.45,0.77,3.68,Municipal,17.303370786516854
RES-001159,2018-07-02,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,1.61,0.31,1.3,Municipal,19.254658385093165
RES-001160,2018-07-02,2018,7,Residuo general,Residuos de oficina y comedor,8.78,0.0,8.78,VerdeLogística,0.0
RES-001161,2018-07-02,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.0,0.66,2.34,VerdeLogística,22.0
RES-001162,2018-07-09,2018,7,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.57,19.34,Municipal,15.57591623036649
RES-001163,2018-07-09,2018,7,Plástico,"Film, espumas y plásticos varios",7.46,0.0,7.46,EcoRetiro SA,0.0
RES-001164,2018-07-09,2018,7,E-waste,Componentes y productos defectuosos,5.38,1.0,4.38,EcoRetiro SA,18.58736059479554
RES-001165,2018-07-09,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.75,0.44,2.31,Municipal,16.0
RES-001166,2018-07-09,2018,7,Residuo general,Residuos de oficina y comedor,6.79,0.0,6.79,VerdeLogística,0.0
RES-001167,2018-07-09,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.22,0.58,2.63,EcoRetiro SA,18.012422360248443
RES-001168,2018-07-16,2018,7,Embalaje cartón,Cajas y embalajes de productos,21.6,3.87,17.73,EcoRetiro SA,17.916666666666668
RES-001169,2018-07-16,2018,7,Plástico,"Film, espumas y plásticos varios",7.88,0.0,7.88,EcoRetiro SA,0.0
RES-001170,2018-07-16,2018,7,E-waste,Componentes y productos defectuosos,5.13,0.82,4.31,EcoRetiro SA,15.984405458089668
RES-001171,2018-07-16,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.31,0.45,1.87,EcoRetiro SA,19.480519480519483
RES-001172,2018-07-16,2018,7,Residuo general,Residuos de oficina y comedor,7.44,0.0,7.44,EcoRetiro SA,0.0
RES-001173,2018-07-16,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.01,0.55,2.45,Municipal,18.272425249169437
RES-001174,2018-07-23,2018,7,Embalaje cartón,Cajas y embalajes de productos,22.13,3.31,18.82,VerdeLogística,14.957071848169907
RES-001175,2018-07-23,2018,7,Plástico,"Film, espumas y plásticos varios",9.01,0.0,9.01,VerdeLogística,0.0
RES-001176,2018-07-23,2018,7,E-waste,Componentes y productos defectuosos,5.9,1.16,4.74,EcoRetiro SA,19.66101694915254
RES-001177,2018-07-23,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.34,1.68,VerdeLogística,16.831683168316832
RES-001178,2018-07-23,2018,7,Residuo general,Residuos de oficina y comedor,8.13,0.0,8.13,EcoRetiro SA,0.0
RES-001179,2018-07-23,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.08,0.5,2.58,EcoRetiro SA,16.233766233766232
RES-001180,2018-07-30,2018,7,Embalaje cartón,Cajas y embalajes de productos,17.34,2.95,14.39,VerdeLogística,17.012687427912343
RES-001181,2018-07-30,2018,7,Plástico,"Film, espumas y plásticos varios",11.67,0.0,11.67,VerdeLogística,0.0
RES-001182,2018-07-30,2018,7,E-waste,Componentes y productos defectuosos,5.96,1.23,4.73,VerdeLogística,20.63758389261745
RES-001183,2018-07-30,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,1.99,0.36,1.63,EcoRetiro SA,18.090452261306535
RES-001184,2018-07-30,2018,7,Residuo general,Residuos de oficina y comedor,4.47,0.0,4.47,Municipal,0.0
RES-001185,2018-07-30,2018,7,Papel y cartón of.,Papel de impresión y documentos,2.14,0.4,1.74,VerdeLogística,18.69158878504673
RES-001186,2018-08-06,2018,8,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.4,21.03,EcoRetiro SA,13.917314776913631
RES-001187,2018-08-06,2018,8,Plástico,"Film, espumas y plásticos varios",9.69,0.0,9.69,EcoRetiro SA,0.0
RES-001188,2018-08-06,2018,8,E-waste,Componentes y productos defectuosos,6.33,1.18,5.15,VerdeLogística,18.64139020537125
RES-001189,2018-08-06,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.84,0.25,1.59,EcoRetiro SA,13.586956521739129
RES-001190,2018-08-06,2018,8,Residuo general,Residuos de oficina y comedor,7.96,0.0,7.96,VerdeLogística,0.0
RES-001191,2018-08-06,2018,8,Papel y cartón of.,Papel de impresión y documentos,2.6,0.49,2.11,EcoRetiro SA,18.846153846153847
RES-001192,2018-08-13,2018,8,Embalaje cartón,Cajas y embalajes de productos,22.1475,5.16,21.08,VerdeLogística,19.664634146341463
RES-001193,2018-08-13,2018,8,Plástico,"Film, espumas y plásticos varios",10.04,0.0,10.04,VerdeLogística,0.0
RES-001194,2018-08-13,2018,8,E-waste,Componentes y productos defectuosos,5.21,0.99,4.22,EcoRetiro SA,19.001919385796544
RES-001195,2018-08-13,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.7,0.35,1.35,EcoRetiro SA,20.588235294117645
RES-001196,2018-08-13,2018,8,Residuo general,Residuos de oficina y comedor,6.73,0.0,6.73,EcoRetiro SA,0.0
RES-001197,2018-08-13,2018,8,Papel y cartón of.,Papel de impresión y documentos,3.82,0.67,3.15,EcoRetiro SA,17.53926701570681
RES-001198,2018-08-20,2018,8,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.65,20.86,VerdeLogística,18.228145825166603
RES-001199,2018-08-20,2018,8,Plástico,"Film, espumas y plásticos varios",6.93,0.0,6.93,VerdeLogística,0.0
RES-001200,2018-08-20,2018,8,E-waste,Componentes y productos defectuosos,5.94,0.99,4.96,VerdeLogística,16.666666666666664
RES-001201,2018-08-20,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.96,0.36,1.61,Municipal,18.367346938775512
RES-001202,2018-08-20,2018,8,Residuo general,Residuos de oficina y comedor,6.34,0.0,6.34,VerdeLogística,0.0
RES-001203,2018-08-20,2018,8,Papel y cartón of.,Papel de impresión y documentos,2.73,0.55,2.18,VerdeLogística,20.146520146520146
RES-001204,2018-08-27,2018,8,Embalaje cartón,Cajas y embalajes de productos,19.06,3.63,15.43,VerdeLogística,19.045120671563485
RES-001205,2018-08-27,2018,8,Plástico,"Film, espumas y plásticos varios",8.96,0.0,8.96,EcoRetiro SA,0.0
RES-001206,2018-08-27,2018,8,E-waste,Componentes y productos defectuosos,6.32,1.22,5.11,VerdeLogística,19.30379746835443
RES-001207,2018-08-27,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.79,0.34,1.45,Municipal,18.99441340782123
RES-001208,2018-08-27,2018,8,Residuo general,Residuos de oficina y comedor,6.86,0.0,6.86,VerdeLogística,0.0
RES-001209,2018-08-27,2018,8,Papel y cartón of.,Papel de impresión y documentos,3.77,0.69,3.08,VerdeLogística,18.302387267904507
RES-001210,2018-09-03,2018,9,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.89,18.66,Municipal,17.258207630878438
