id_ticket,fecha,hora,anio,mes,id_producto,nombre_producto,categoria,cantidad,precio_unitario,descuento_pct,subtotal_ars,medio_pago,vendedor,canal
TK-10015,2018-01-03,10:09,2018,1,P001,Smartphone Gama Media,Smartphones,1,46279.04,0.0,46279.04,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10016,2018-01-03,16:33,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3148.77,0.0,3148.77,Crédito 3 cuotas,V02-García,Local físico
TK-10016,2018-01-03,16:33,2018,1,P006,"Smart TV 43""",TV/Audio,2,109981.76,0.05,208965.34,Crédito 3 cuotas,V02-García,Local físico
TK-10016,2018-01-03,16:33,2018,1,P002,Smartphone Gama Alta,Smartphones,1,119173.98,0.0,119173.98,Crédito 3 cuotas,V02-García,Local físico
TK-10017,2018-01-04,13:27,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3466.72,0.15,2946.71,Efectivo,V01-López,Local físico
TK-10017,2018-01-04,13:27,2018,1,P004,Notebook Ultra,Computación,1,290026.57,0.0,290026.57,Efectivo,V01-López,Local físico
TK-10018,2018-01-04,10:55,2018,1,P002,Smartphone Gama Alta,Smartphones,1,122658.48,0.0,122658.48,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10019,2018-01-04,11:34,2018,1,P001,Smartphone Gama Media,Smartphones,1,45231.35,0.0,45231.35,Crédito 6 cuotas,V05-Fernández,Local físico
TK-10019,2018-01-04,11:34,2018,1,P002,Smartphone Gama Alta,Smartphones,1,119583.67,0.0,119583.67,Crédito 6 cuotas,V05-Fernández,Local físico
TK-10020,2018-01-04,13:15,2018,1,P005,"Tablet 10""",Tablets,1,54503.18,0.0,54503.18,Crédito 6 cuotas,V01-López,Local físico
TK-10020,2018-01-04,13:15,2018,1,P003,"Notebook 15""",Computación,1,172727.94,0.05,164091.54,Crédito 6 cuotas,V01-López,Local físico
TK-10020,2018-01-04,13:15,2018,1,P011,"Monitor 24""",Periféricos,1,53547.02,0.0,53547.02,Crédito 6 cuotas,V01-López,Local físico
TK-10021,2018-01-04,16:35,2018,1,P007,"Smart TV 55""",TV/Audio,2,186798.67,0.15,317557.73,Crédito 3 cuotas,V01-López,Local físico
TK-10022,2018-01-04,20:44,2018,1,P001,Smartphone Gama Media,Smartphones,1,44480.14,0.0,44480.14,Crédito 1 cuota,V02-García,Local físico
TK-10022,2018-01-04,20:44,2018,1,P014,Cámara IP Seguridad,Seguridad,1,22384.2,0.0,22384.2,Crédito 1 cuota,V02-García,Local físico
TK-10022,2018-01-04,20:44,2018,1,P010,Teclado Mecánico,Periféricos,1,12319.59,0.0,12319.59,Crédito 1 cuota,V02-García,Local físico
TK-10023,2018-01-04,18:35,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3119.44,0.0,3119.44,Débito,V02-García,Local físico
TK-10024,2018-01-04,09:55,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,17833.03,0.0,17833.03,Crédito 3 cuotas,V02-García,Local físico
TK-10025,2018-01-05,20:59,2018,1,P001,Smartphone Gama Media,Smartphones,1,46484.52,0.0,46484.52,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10026,2018-01-05,10:06,2018,1,P004,Notebook Ultra,Computación,2,289909.62,0.0,579819.23,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10027,2018-01-05,19:41,2018,1,P008,Auriculares Bluetooth,Accesorios,2,8270.96,0.0,16541.91,Crédito 1 cuota,V01-López,Local físico
TK-10028,2018-01-05,12:34,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,17439.57,0.15,14823.64,Crédito 1 cuota,V03-Martínez,Local físico
TK-10029,2018-01-06,16:51,2018,1,P009,Mouse Inalámbrico,Periféricos,3,3234.69,0.1,8733.67,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10030,2018-01-06,10:59,2018,1,P010,Teclado Mecánico,Periféricos,1,12553.69,0.1,11298.32,Débito,V04-Rodríguez,Local físico
TK-10031,2018-01-06,09:10,2018,1,P006,"Smart TV 43""",TV/Audio,1,101354.84,0.0,101354.84,Transferencia,V02-García,Local físico
TK-10032,2018-01-06,15:44,2018,1,P001,Smartphone Gama Media,Smartphones,1,46109.57,0.0,46109.57,Transferencia,V05-Fernández,Local físico
TK-10033,2018-01-06,13:13,2018,1,P001,Smartphone Gama Media,Smartphones,1,45117.51,0.0,45117.51,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10034,2018-01-06,18:30,2018,1,P004,Notebook Ultra,Computación,2,277488.34,0.0,554976.68,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10035,2018-01-06,11:04,2018,1,P007,"Smart TV 55""",TV/Audio,1,183780.82,0.1,165402.74,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10036,2018-01-08,12:37,2018,1,P005,"Tablet 10""",Tablets,1,53697.72,0.0,53697.72,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10037,2018-01-08,13:13,2018,1,P001,Smartphone Gama Media,Smartphones,1,46004.01,0.0,46004.01,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10038,2018-01-08,16:20,2018,1,P003,"Notebook 15""",Computación,1,182707.82,0.0,182707.82,Transferencia,V05-Fernández,Local físico
TK-10039,2018-01-08,10:04,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18625.42,0.0,18625.42,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10040,2018-01-08,12:23,2018,1,P011,"Monitor 24""",Periféricos,1,57263.57,0.15,48674.04,Crédito 1 cuota,V02-García,Local físico
TK-10041,2018-01-08,19:33,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18094.8,0.15,15380.58,Crédito 6 cuotas,V01-López,Local físico
TK-10042,2018-01-08,11:16,2018,1,P004,Notebook Ultra,Computación,1,277844.31,0.0,277844.31,Débito,V01-López,Local físico
TK-10043,2018-01-08,20:21,2018,1,P006,"Smart TV 43""",TV/Audio,1,108786.18,0.1,97907.56,Crédito 3 cuotas,V02-García,Local físico
TK-10044,2018-01-09,09:05,2018,1,P001,Smartphone Gama Media,Smartphones,1,45352.42,0.0,45352.42,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10045,2018-01-09,13:10,2018,1,P007,"Smart TV 55""",TV/Audio,1,177144.69,0.0,177144.69,Crédito 3 cuotas,V04-Rodríguez,Local físico
TK-10046,2018-01-09,20:57,2018,1,P001,Smartphone Gama Media,Smartphones,1,44432.13,0.0,44432.13,Efectivo,V01-López,Local físico
TK-10047,2018-01-09,09:19,2018,1,P004,Notebook Ultra,Computación,1,272078.32,0.0,272078.32,Transferencia,V02-García,Local físico
TK-10047,2018-01-09,09:19,2018,1,P013,Router WiFi 6,Redes,1,15631.78,0.05,14850.19,Transferencia,V02-García,Local físico
TK-10047,2018-01-09,09:19,2018,1,P007,"Smart TV 55""",TV/Audio,1,184897.04,0.0,184897.04,Transferencia,V02-García,Local físico
TK-10048,2018-01-09,15:39,2018,1,P004,Notebook Ultra,Computación,1,265942.56,0.05,252645.43,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10049,2018-01-09,11:56,2018,1,P003,"Notebook 15""",Computación,1,176440.42,0.0,176440.42,Débito,V03-Martínez,Local físico
TK-10049,2018-01-09,11:56,2018,1,P001,Smartphone Gama Media,Smartphones,1,45005.32,0.05,42755.05,Débito,V03-Martínez,Local físico
TK-10049,2018-01-09,11:56,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8621.83,0.0,8621.83,Débito,V03-Martínez,Local físico
TK-10050,2018-01-09,20:06,2018,1,P003,"Notebook 15""",Computación,1,178601.25,0.1,160741.12,Efectivo,V02-García,Local físico
TK-10051,2018-01-09,14:19,2018,1,P002,Smartphone Gama Alta,Smartphones,1,121223.36,0.0,121223.36,Crédito 6 cuotas,V05-Fernández,Local físico
TK-10052,2018-01-10,13:55,2018,1,P003,"Notebook 15""",Computación,1,186171.24,0.05,176862.68,Crédito 6 cuotas,V01-López,Local físico
TK-10053,2018-01-10,17:21,2018,1,P003,"Notebook 15""",Computación,1,184060.44,0.15,156451.37,Débito,V05-Fernández,Local físico
TK-10053,2018-01-10,17:21,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3334.9,0.0,3334.9,Débito,V05-Fernández,Local físico
TK-10053,2018-01-10,17:21,2018,1,P005,"Tablet 10""",Tablets,1,57297.34,0.05,54432.47,Débito,V05-Fernández,Local físico
TK-10054,2018-01-10,14:27,2018,1,P007,"Smart TV 55""",TV/Audio,1,179502.52,0.0,179502.52,Crédito 3 cuotas,V04-Rodríguez,Local físico
TK-10055,2018-01-10,20:27,2018,1,P001,Smartphone Gama Media,Smartphones,1,44235.5,0.05,42023.72,Crédito 6 cuotas,V01-López,Local físico
TK-10056,2018-01-10,19:12,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8104.58,0.0,8104.58,Efectivo,V02-García,Local físico
TK-10057,2018-01-10,10:46,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8517.48,0.05,8091.61,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10058,2018-01-10,17:08,2018,1,P002,Smartphone Gama Alta,Smartphones,1,116690.07,0.0,116690.07,Crédito 3 cuotas,V01-López,Local físico
TK-10059,2018-01-11,18:19,2018,1,P013,Router WiFi 6,Redes,1,14825.28,0.05,14084.02,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10060,2018-01-11,18:41,2018,1,P001,Smartphone Gama Media,Smartphones,1,43804.56,0.05,41614.33,Crédito 1 cuota,V02-García,Local físico
TK-10061,2018-01-11,20:10,2018,1,P013,Router WiFi 6,Redes,1,14839.46,0.0,14839.46,Débito,V04-Rodríguez,Local físico
TK-10062,2018-01-11,12:43,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3253.39,0.15,2765.38,Crédito 6 cuotas,V02-García,Local físico
TK-10063,2018-01-11,18:54,2018,1,P011,"Monitor 24""",Periféricos,1,52347.65,0.05,49730.27,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10063,2018-01-11,18:54,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8547.08,0.0,8547.08,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10064,2018-01-11,11:41,2018,1,P001,Smartphone Gama Media,Smartphones,2,45350.84,0.05,86166.6,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10064,2018-01-11,11:41,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18422.18,0.1,16579.97,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10065,2018-01-11,20:33,2018,1,P004,Notebook Ultra,Computación,1,285188.18,0.0,285188.18,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10065,2018-01-11,20:33,2018,1,P010,Teclado Mecánico,Periféricos,1,12438.15,0.0,12438.15,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10066,2018-01-11,17:38,2018,1,P001,Smartphone Gama Media,Smartphones,1,45395.65,0.1,40856.08,Crédito 6 cuotas,V02-García,Local físico
TK-10067,2018-01-11,15:53,2018,1,P001,Smartphone Gama Media,Smartphones,2,44035.63,0.0,88071.25,Crédito 1 cuota,V05-Fernández,Local físico
TK-10068,2018-01-11,12:53,2018,1,P002,Smartphone Gama Alta,Smartphones,1,126716.79,0.0,126716.79,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10069,2018-01-11,10:45,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3245.49,0.0,3245.49,Débito,V02-García,Local físico
TK-10070,2018-01-12,12:24,2018,1,P003,"Notebook 15""",Computación,1,174845.71,0.0,174845.71,Crédito 3 cuotas,V04-Rodríguez,Local físico
TK-10071,2018-01-12,15:03,2018,1,P004,Notebook Ultra,Computación,1,288092.36,0.05,273687.74,Crédito 1 cuota,V02-García,Local físico
TK-10071,2018-01-12,15:03,2018,1,P010,Teclado Mecánico,Periféricos,2,12148.6,0.05,23082.34,Crédito 1 cuota,V02-García,Local físico
TK-10072,2018-01-12,15:30,2018,1,P009,Mouse Inalámbrico,Periféricos,2,3176.44,0.15,5399.95,Crédito 1 cuota,V01-López,Local físico
TK-10072,2018-01-12,15:30,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8307.8,0.05,7892.41,Crédito 1 cuota,V01-López,Local físico
TK-10073,2018-01-12,17:51,2018,1,P003,"Notebook 15""",Computación,1,184744.84,0.0,184744.84,Débito,V04-Rodríguez,Local físico
TK-10074,2018-01-12,14:42,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8438.9,0.0,8438.9,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10075,2018-01-12,18:34,2018,1,P011,"Monitor 24""",Periféricos,1,59511.8,0.0,59511.8,Crédito 1 cuota,V01-López,Local físico
TK-10076,2018-01-12,11:55,2018,1,P006,"Smart TV 43""",TV/Audio,1,110309.43,0.0,110309.43,Efectivo,V03-Martínez,Local físico
TK-10077,2018-01-12,15:17,2018,1,P002,Smartphone Gama Alta,Smartphones,1,116533.14,0.0,116533.14,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10078,2018-01-12,17:03,2018,1,P001,Smartphone Gama Media,Smartphones,1,46319.19,0.05,44003.23,Crédito 1 cuota,V05-Fernández,Local físico
TK-10079,2018-01-13,09:15,2018,1,P013,Router WiFi 6,Redes,1,15217.11,0.05,14456.26,Efectivo,V01-López,Local físico
TK-10080,2018-01-13,18:13,2018,1,P014,Cámara IP Seguridad,Seguridad,1,21852.51,0.15,18574.64,Débito,V03-Martínez,Local físico
TK-10081,2018-01-13,20:07,2018,1,P001,Smartphone Gama Media,Smartphones,1,45963.9,0.15,39069.32,Débito,V04-Rodríguez,Local físico
TK-10082,2018-01-13,18:43,2018,1,P013,Router WiFi 6,Redes,1,14618.94,0.0,14618.94,Crédito 1 cuota,V05-Fernández,Local físico
TK-10082,2018-01-13,18:43,2018,1,P006,"Smart TV 43""",TV/Audio,1,105001.0,0.0,105001.0,Crédito 1 cuota,V05-Fernández,Local físico
TK-10082,2018-01-13,18:43,2018,1,P014,Cámara IP Seguridad,Seguridad,1,21705.3,0.0,21705.3,Crédito 1 cuota,V05-Fernández,Local físico
TK-10083,2018-01-13,19:38,2018,1,P002,Smartphone Gama Alta,Smartphones,1,123083.04,0.0,123083.04,Crédito 6 cuotas,V05-Fernández,Local físico
TK-10084,2018-01-15,19:23,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3208.88,0.0,3208.88,Crédito 3 cuotas,V01-López,Local físico
TK-10085,2018-01-15,15:23,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8514.84,0.05,8089.1,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10085,2018-01-15,15:23,2018,1,P001,Smartphone Gama Media,Smartphones,2,43456.99,0.0,86913.98,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10086,2018-01-15,17:49,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18584.85,0.1,16726.36,Crédito 1 cuota,V03-Martínez,Local físico
TK-10086,2018-01-15,17:49,2018,1,P010,Teclado Mecánico,Periféricos,1,12379.37,0.0,12379.37,Crédito 1 cuota,V03-Martínez,Local físico
TK-10087,2018-01-15,16:15,2018,1,P005,"Tablet 10""",Tablets,1,56493.45,0.0,56493.45,Crédito 3 cuotas,V04-Rodríguez,Local físico
TK-10088,2018-01-15,14:11,2018,1,P011,"Monitor 24""",Periféricos,1,54003.56,0.0,54003.56,Crédito 1 cuota,V03-Martínez,Local físico
TK-10089,2018-01-15,13:35,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18012.92,0.0,18012.92,Transferencia,V01-López,Local físico
TK-10090,2018-01-15,12:44,2018,1,P007,"Smart TV 55""",TV/Audio,1,189839.12,0.0,189839.12,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10091,2018-01-15,15:44,2018,1,P011,"Monitor 24""",Periféricos,1,57195.95,0.0,57195.95,Crédito 3 cuotas,V02-García,Local físico
TK-10092,2018-01-15,20:35,2018,1,P011,"Monitor 24""",Periféricos,1,56630.53,0.0,56630.53,Crédito 3 cuotas,V02-García,Local físico
TK-10093,2018-01-16,12:20,2018,1,P005,"Tablet 10""",Tablets,1,56252.3,0.0,56252.3,Crédito 3 cuotas,V01-López,Local físico
TK-10093,2018-01-16,12:20,2018,1,P001,Smartphone Gama Media,Smartphones,1,44344.76,0.05,42127.52,Crédito 3 cuotas,V01-López,Local físico
TK-10094,2018-01-16,17:38,2018,1,P006,"Smart TV 43""",TV/Audio,1,110270.18,0.0,110270.18,Débito,V02-García,Local físico
TK-10095,2018-01-16,09:45,2018,1,P007,"Smart TV 55""",TV/Audio,1,182380.78,0.05,173261.74,Débito,V03-Martínez,Local físico
TK-10095,2018-01-16,09:45,2018,1,P003,"Notebook 15""",Computación,1,185880.33,0.1,167292.3,Débito,V03-Martínez,Local físico
TK-10095,2018-01-16,09:45,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8516.39,0.1,7664.75,Débito,V03-Martínez,Local físico
TK-10096,2018-01-16,18:18,2018,1,P010,Teclado Mecánico,Periféricos,1,11612.01,0.15,9870.21,Crédito 1 cuota,V03-Martínez,Local físico
TK-10097,2018-01-16,16:07,2018,1,P003,"Notebook 15""",Computación,1,176056.02,0.0,176056.02,Crédito 1 cuota,V05-Fernández,Local físico
TK-10098,2018-01-16,11:51,2018,1,P001,Smartphone Gama Media,Smartphones,1,45292.22,0.05,43027.61,Crédito 1 cuota,V03-Martínez,Local físico
TK-10098,2018-01-16,11:51,2018,1,P007,"Smart TV 55""",TV/Audio,1,173760.46,0.05,165072.44,Crédito 1 cuota,V03-Martínez,Local físico
TK-10098,2018-01-16,11:51,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3217.9,0.0,3217.9,Crédito 1 cuota,V03-Martínez,Local físico
TK-10099,2018-01-16,16:58,2018,1,P011,"Monitor 24""",Periféricos,1,53726.5,0.0,53726.5,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10099,2018-01-16,16:58,2018,1,P003,"Notebook 15""",Computación,1,188971.03,0.05,179522.48,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10099,2018-01-16,16:58,2018,1,P006,"Smart TV 43""",TV/Audio,2,108896.98,0.0,217793.97,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10100,2018-01-17,12:16,2018,1,P003,"Notebook 15""",Computación,1,189533.45,0.0,189533.45,Débito,V04-Rodríguez,Local físico
TK-10101,2018-01-17,16:44,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3238.88,0.05,3076.93,Débito,V03-Martínez,Local físico
TK-10102,2018-01-17,16:04,2018,1,P003,"Notebook 15""",Computación,1,182037.4,0.05,172935.53,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10102,2018-01-17,16:04,2018,1,P014,Cámara IP Seguridad,Seguridad,2,23089.89,0.0,46179.78,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10103,2018-01-17,17:14,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8313.66,0.0,8313.66,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10103,2018-01-17,17:14,2018,1,P005,"Tablet 10""",Tablets,1,52888.13,0.05,50243.73,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10104,2018-01-17,18:58,2018,1,P010,Teclado Mecánico,Periféricos,1,12159.77,0.15,10335.81,Débito,V02-García,Local físico
TK-10105,2018-01-17,17:34,2018,1,P006,"Smart TV 43""",TV/Audio,1,112556.29,0.0,112556.29,Débito,V03-Martínez,Local físico
TK-10106,2018-01-17,13:01,2018,1,P001,Smartphone Gama Media,Smartphones,1,43251.83,0.15,36764.05,Transferencia,V01-López,Local físico
TK-10106,2018-01-17,13:01,2018,1,P006,"Smart TV 43""",TV/Audio,3,109653.11,0.05,312511.36,Transferencia,V01-López,Local físico
TK-10107,2018-01-18,13:36,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8168.45,0.1,7351.61,Crédito 6 cuotas,V01-López,Local físico
TK-10108,2018-01-18,11:37,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8514.92,0.0,8514.92,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10108,2018-01-18,11:37,2018,1,P001,Smartphone Gama Media,Smartphones,1,48169.8,0.0,48169.8,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10108,2018-01-18,11:37,2018,1,P005,"Tablet 10""",Tablets,1,55668.21,0.0,55668.21,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10109,2018-01-18,16:18,2018,1,P002,Smartphone Gama Alta,Smartphones,1,123275.06,0.0,123275.06,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10109,2018-01-18,16:18,2018,1,P001,Smartphone Gama Media,Smartphones,1,44726.68,0.0,44726.68,Crédito 1 cuota,V04-Rodríguez,Local físico
TK-10110,2018-01-18,15:55,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8515.53,0.0,8515.53,Transferencia,V03-Martínez,Local físico
TK-10111,2018-01-19,12:33,2018,1,P005,"Tablet 10""",Tablets,1,56092.52,0.0,56092.52,Crédito 6 cuotas,V02-García,Local físico
TK-10112,2018-01-19,17:08,2018,1,P008,Auriculares Bluetooth,Accesorios,1,9043.92,0.15,7687.33,Crédito 1 cuota,V05-Fernández,Local físico
TK-10113,2018-01-19,18:51,2018,1,P013,Router WiFi 6,Redes,1,14121.56,0.0,14121.56,Débito,V02-García,Local físico
TK-10114,2018-01-19,10:29,2018,1,P005,"Tablet 10""",Tablets,2,55463.64,0.0,110927.27,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10115,2018-01-19,20:17,2018,1,P001,Smartphone Gama Media,Smartphones,1,44159.36,0.0,44159.36,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10116,2018-01-19,12:58,2018,1,P004,Notebook Ultra,Computación,1,275049.34,0.05,261296.87,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10117,2018-01-19,15:21,2018,1,P001,Smartphone Gama Media,Smartphones,1,46146.96,0.0,46146.96,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10117,2018-01-19,15:21,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3286.36,0.15,2793.41,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10118,2018-01-19,16:55,2018,1,P010,Teclado Mecánico,Periféricos,1,12110.63,0.0,12110.63,Crédito 3 cuotas,V01-López,Local físico
TK-10119,2018-01-20,16:59,2018,1,P002,Smartphone Gama Alta,Smartphones,1,123156.32,0.0,123156.32,Débito,V02-García,Local físico
TK-10120,2018-01-20,15:02,2018,1,P010,Teclado Mecánico,Periféricos,1,11992.48,0.15,10193.6,Crédito 1 cuota,V02-García,Local físico
TK-10120,2018-01-20,15:02,2018,1,P011,"Monitor 24""",Periféricos,1,55193.59,0.05,52433.91,Crédito 1 cuota,V02-García,Local físico
TK-10121,2018-01-20,11:31,2018,1,P005,"Tablet 10""",Tablets,1,57562.22,0.0,57562.22,Débito,V05-Fernández,Local físico
TK-10121,2018-01-20,11:31,2018,1,P010,Teclado Mecánico,Periféricos,1,11841.77,0.0,11841.77,Débito,V05-Fernández,Local físico
TK-10121,2018-01-20,11:31,2018,1,P004,Notebook Ultra,Computación,2,276573.51,0.0,553147.02,Débito,V05-Fernández,Local físico
TK-10122,2018-01-20,11:26,2018,1,P013,Router WiFi 6,Redes,1,15117.73,0.0,15117.73,Transferencia,V05-Fernández,Local físico
TK-10123,2018-01-20,18:44,2018,1,P007,"Smart TV 55""",TV/Audio,1,182096.31,0.0,182096.31,Débito,V02-García,Local físico
TK-10124,2018-01-20,14:40,2018,1,P012,Disco SSD 1TB,Almacenamiento,1,18512.54,0.0,18512.54,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10124,2018-01-20,14:40,2018,1,P005,"Tablet 10""",Tablets,1,54552.78,0.15,46369.87,Crédito 6 cuotas,V04-Rodríguez,Local físico
TK-10125,2018-01-22,12:47,2018,1,P014,Cámara IP Seguridad,Seguridad,1,21459.97,0.0,21459.97,Transferencia,V01-López,Local físico
TK-10125,2018-01-22,12:47,2018,1,P008,Auriculares Bluetooth,Accesorios,1,9033.56,0.0,9033.56,Transferencia,V01-López,Local físico
TK-10126,2018-01-22,09:02,2018,1,P003,"Notebook 15""",Computación,1,186506.58,0.0,186506.58,Efectivo,V02-García,Local físico
TK-10127,2018-01-22,15:36,2018,1,P010,Teclado Mecánico,Periféricos,1,11569.2,0.0,11569.2,Débito,V04-Rodríguez,Local físico
TK-10128,2018-01-22,19:15,2018,1,P011,"Monitor 24""",Periféricos,1,53846.41,0.0,53846.41,Crédito 3 cuotas,V03-Martínez,Local físico
TK-10129,2018-01-22,19:00,2018,1,P007,"Smart TV 55""",TV/Audio,1,184951.07,0.0,184951.07,Crédito 1 cuota,V05-Fernández,Local físico
TK-10130,2018-01-22,14:37,2018,1,P006,"Smart TV 43""",TV/Audio,1,108979.99,0.0,108979.99,Transferencia,V02-García,Local físico
TK-10131,2018-01-23,15:54,2018,1,P001,Smartphone Gama Media,Smartphones,1,45557.46,0.15,38723.84,Débito,V03-Martínez,Local físico
TK-10132,2018-01-23,13:01,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8356.25,0.05,7938.44,Crédito 3 cuotas,V05-Fernández,Local físico
