id_orden_compra,fecha_emision,fecha_pago,proveedor,categoria,monto_ars,condicion_pago,estado
OC-5033,2018-04-01,2018-04-18,MegaComputo SRL,Periféricos,176940943,60 días,Pagado
OC-5034,2018-04-01,2018-04-16,MegaComputo SRL,Almacenamiento,95233118,60 días,Pagado
OC-5035,2018-04-01,2018-04-11,NetSupply SA,Redes,73347651,30 días,Pagado
OC-5036,2018-04-01,2018-04-19,NetSupply SA,Seguridad,67119688,30 días,Pagado
OC-5037,2018-05-01,2018-05-09,DistribuidoraTech SA,Smartphones,468001433,30 días,Pagado
OC-5038,2018-05-01,2018-05-11,MegaComputo SRL,Computación,490777685,60 días,Pagado
OC-5039,2018-05-01,2018-05-20,DistribuidoraTech SA,Tablets,256343121,30 días,Pagado
OC-5040,2018-05-01,2018-05-09,ElectroImport SA,TV/Audio,407031072,30 días,Pagado
OC-5041,2018-05-01,2018-05-13,AccesoriosTotal SRL,Accesorios,19188555,Contado,Pagado
OC-5042,2018-05-01,2018-05-13,MegaComputo SRL,Periféricos,240215728,30 días,Pagado
OC-5043,2018-05-01,2018-05-07,MegaComputo SRL,Almacenamiento,165767636,60 días,Pagado
OC-5044,2018-05-01,2018-05-14,NetSupply SA,Redes,13887163,60 días,Pagado
OC-5045,2018-05-01,2018-05-18,NetSupply SA,Seguridad,94163714,60 días,Pagado
OC-5046,2018-06-01,2018-06-16,DistribuidoraTech SA,Smartphones,29847491,60 días,Pagado
OC-5047,2018-06-01,2018-06-06,MegaComputo SRL,Computación,312071664,Contado,Pagado
OC-5048,2018-06-01,2018-06-06,DistribuidoraTech SA,Tablets,139610102,Contado,Pagado
OC-5049,2018-06-01,2018-06-18,ElectroImport SA,TV/Audio,22721206,Contado,Pagado
OC-5050,2018-06-01,2018-06-15,AccesoriosTotal SRL,Accesorios,98843881,60 días,Pagado
OC-5051,2018-06-01,2018-06-13,MegaComputo SRL,Periféricos,134086163,30 días,Pagado
OC-5052,2018-06-01,2018-06-20,MegaComputo SRL,Almacenamiento,94994912,Contado,Pagado
OC-5053,2018-06-01,2018-06-13,NetSupply SA,Redes,68863654,60 días,Pagado
OC-5054,2018-06-01,2018-06-18,NetSupply SA,Seguridad,6213066,Contado,Pagado
OC-5055,2018-07-01,2018-07-18,DistribuidoraTech SA,Smartphones,505699928,60 días,Pagado
OC-5056,2018-07-01,2018-07-17,MegaComputo SRL,Computación,509425096,Contado,Pagado
OC-5057,2018-07-01,2018-07-16,DistribuidoraTech SA,Tablets,21825934,30 días,Pagado
OC-5058,2018-07-01,2018-07-10,ElectroImport SA,TV/Audio,373229282,60 días,Pagado
OC-5059,2018-07-01,2018-07-17,AccesoriosTotal SRL,Accesorios,190465831,30 días,Pagado
OC-5060,2018-07-01,2018-07-13,MegaComputo SRL,Periféricos,210486967,Contado,Pagado
OC-5061,2018-07-01,2018-07-17,MegaComputo SRL,Almacenamiento,145977167,60 días,Pagado
OC-5062,2018-07-01,2018-07-17,NetSupply SA,Redes,117093315,60 días,Pagado
OC-5063,2018-07-01,2018-07-06,NetSupply SA,Seguridad,98822696,Contado,Pagado
OC-5064,2018-08-01,2018-08-18,DistribuidoraTech SA,Smartphones,296659253,Contado,Pagado
OC-5065,2018-08-01,2018-08-18,MegaComputo SRL,Computación,328670848,30 días,Pagado
OC-5066,2018-08-01,2018-08-14,DistribuidoraTech SA,Tablets,122281635,60 días,Pagado
OC-5067,2018-08-01,2018-08-09,ElectroImport SA,TV/Audio,21598949,Contado,Pagado
OC-5068,2018-08-01,2018-08-10,AccesoriosTotal SRL,Accesorios,112482242,60 días,Pagado
OC-5069,2018-08-01,2018-08-18,MegaComputo SRL,Periféricos,154784482,60 días,Pagado
OC-5070,2018-08-01,2018-08-11,MegaComputo SRL,Almacenamiento,81885126,Contado,Pagado
OC-5071,2018-08-01,2018-08-17,NetSupply SA,Redes,67269217,30 días,Pagado
OC-5072,2018-08-01,2018-08-11,NetSupply SA,Seguridad,51918563,30 días,Pagado
OC-5073,2018-09-01,2018-09-11,DistribuidoraTech SA,Smartphones,433548362,Contado,Pagado
OC-5074,2018-09-01,2018-09-19,MegaComputo SRL,Computación,447612712,Contado,Pagado
OC-5075,2018-09-01,2018-09-05,DistribuidoraTech SA,Tablets,17240261,Contado,Pagado
OC-5076,2018-09-01,2018-09-09,ElectroImport SA,TV/Audio,312056221,Contado,Pagado
OC-5077,2018-09-01,2018-09-08,AccesoriosTotal SRL,Accesorios,175572229,Contado,Pagado
OC-5078,2018-09-01,2018-09-17,MegaComputo SRL,Periféricos,210714672,Contado,Pagado
OC-5079,2018-09-01,2018-09-18,MegaComputo SRL,Almacenamiento,11829714,60 días,Pagado
OC-5080,2018-09-01,2018-09-17,NetSupply SA,Redes,108943222,30 días,Pagado
OC-5081,2018-09-01,2018-09-09,NetSupply SA,Seguridad,90225216,Contado,Pagado
OC-5082,2018-10-01,2018-10-18,DistribuidoraTech SA,Smartphones,490096072,30 días,Pagado
OC-5083,2018-10-01,2018-10-20,MegaComputo SRL,Computación,520689823,60 días,Pagado
OC-5084,2018-10-01,2018-10-16,DistribuidoraTech SA,Tablets,237660876,60 días,Pagado
OC-5085,2018-10-01,2018-10-06,ElectroImport SA,TV/Audio,411989273,60 días,Pagado
OC-5086,2018-10-01,2018-10-08,AccesoriosTotal SRL,Accesorios,187193251,Contado,Pagado
OC-5087,2018-10-01,2018-10-17,MegaComputo SRL,Periféricos,25162498,60 días,Pagado
OC-5088,2018-10-01,2018-10-10,MegaComputo SRL,Almacenamiento,146973694,Contado,Pagado
OC-5089,2018-10-01,2018-10-10,NetSupply SA,Redes,111442738,30 días,Pagado
OC-5090,2018-10-01,2018-10-12,NetSupply SA,Seguridad,105054766,30 días,Pagado
OC-5091,2018-11-01,2018-11-06,DistribuidoraTech SA,Smartphones,481475119,60 días,Pagado
OC-5092,2018-11-01,2018-11-05,MegaComputo SRL,Computación,511352522,30 días,Pagado
OC-5093,2018-11-01,2018-11-20,DistribuidoraTech SA,Tablets,200522754,60 días,Pagado
OC-5094,2018-11-01,2018-11-13,ElectroImport SA,TV/Audio,365046269,60 días,Pagado
OC-5095,2018-11-01,2018-11-09,AccesoriosTotal SRL,Accesorios,165141529,30 días,Pagado
OC-5096,2018-11-01,2018-11-08,MegaComputo SRL,Periféricos,230698011,30 días,Pagado
OC-5097,2018-11-01,2018-11-14,MegaComputo SRL,Almacenamiento,11413215,Contado,Pagado
OC-5098,2018-11-01,2018-11-08,NetSupply SA,Redes,103287488,Contado,Pagado
OC-5099,2018-11-01,2018-11-14,NetSupply SA,Seguridad,67820038,30 días,Pagado
OC-5100,2018-12-01,2018-12-12,DistribuidoraTech SA,Smartphones,511834786,30 días,Pagado
OC-5101,2018-12-01,2018-12-12,MegaComputo SRL,Computación,590491486,Contado,Pagado
OC-5102,2018-12-01,2018-12-07,DistribuidoraTech SA,Tablets,252625706,60 días,Pagado
OC-5103,2018-12-01,2018-12-09,ElectroImport SA,TV/Audio,389939009,60 días,Pagado
OC-5104,2018-12-01,2018-12-18,AccesoriosTotal SRL,Accesorios,202060779,Contado,Pagado
OC-5105,2018-12-01,2018-12-10,MegaComputo SRL,Periféricos,24769253,Contado,Pagado
OC-5106,2018-12-01,2018-12-06,MegaComputo SRL,Almacenamiento,170314053,Contado,Pagado
OC-5107,2018-12-01,2018-12-16,NetSupply SA,Redes,127280747,Contado,Pagado
OC-5108,2018-12-01,2018-12-19,NetSupply SA,Seguridad,113907094,30 días,Pagado
OC-5109,2019-01-01,2019-01-08,DistribuidoraTech SA,Smartphones,482016079,60 días,Pagado
OC-5110,2019-01-01,2019-01-05,MegaComputo SRL,Computación,511236426,30 días,Pagado
OC-5111,2019-01-01,2019-01-20,DistribuidoraTech SA,Tablets,188475043,Contado,Pagado
OC-5112,2019-01-01,2019-01-17,ElectroImport SA,TV/Audio,320282981,Contado,Pagado
OC-5113,2019-01-01,2019-01-08,AccesoriosTotal SRL,Accesorios,176592921,60 días,Pagado
OC-5114,2019-01-01,2019-01-06,MegaComputo SRL,Periféricos,220885887,30 días,Pagado
OC-5115,2019-01-01,2019-01-15,MegaComputo SRL,Almacenamiento,119263981,30 días,Pagado
OC-5116,2019-01-01,2019-01-16,NetSupply SA,Redes,119079727,60 días,Pagado
OC-5117,2019-01-01,2019-01-20,NetSupply SA,Seguridad,88960545,30 días,Pagado
OC-5118,2019-02-01,2019-02-16,DistribuidoraTech SA,Smartphones,454079668,Contado,Pagado
OC-5119,2019-02-01,2019-02-14,MegaComputo SRL,Computación,541902424,60 días,Pagado
OC-5120,2019-02-01,2019-02-19,DistribuidoraTech SA,Tablets,183043736,60 días,Pagado
OC-5121,2019-02-01,2019-02-05,ElectroImport SA,TV/Audio,289147296,60 días,Pagado
OC-5122,2019-02-01,2019-02-06,AccesoriosTotal SRL,Accesorios,165345358,30 días,Pagado
OC-5123,2019-02-01,2019-02-19,MegaComputo SRL,Periféricos,246860722,Contado,Pagado
OC-5124,2019-02-01,2019-02-13,MegaComputo SRL,Almacenamiento,130197245,60 días,Pagado
OC-5125,2019-02-01,2019-02-19,NetSupply SA,Redes,106779702,Contado,Pagado
OC-5126,2019-02-01,2019-02-16,NetSupply SA,Seguridad,83154208,60 días,Pagado
OC-5127,2019-03-01,2019-03-17,DistribuidoraTech SA,Smartphones,460991049,30 días,Pagado
OC-5128,2019-03-01,2019-03-15,MegaComputo SRL,Computación,484193031,60 días,Pagado
OC-5129,2019-03-01,2019-03-09,DistribuidoraTech SA,Tablets,199384376,60 días,Pagado
OC-5130,2019-03-01,2019-03-20,ElectroImport SA,TV/Audio,399866632,30 días,Pagado
OC-5131,2019-03-01,2019-03-09,AccesoriosTotal SRL,Accesorios,22273107,60 días,Pagado
OC-5132,2019-03-01,2019-03-09,MegaComputo SRL,Periféricos,21506961,60 días,Pagado
OC-5133,2019-03-01,2019-03-15,MegaComputo SRL,Almacenamiento,132433672,30 días,Pagado
OC-5134,2019-03-01,2019-03-18,NetSupply SA,Redes,110161292,60 días,Pagado
OC-5135,2019-03-01,2019-03-19,NetSupply SA,Seguridad,103986909,30 días,Pagado
OC-5136,2019-04-01,2019-04-08,DistribuidoraTech SA,Smartphones,577675032,30 días,Pagado
OC-5137,2019-04-01,2019-04-19,MegaComputo SRL,Computación,586770777,Contado,Pagado
OC-5138,2019-04-01,2019-04-05,DistribuidoraTech SA,Tablets,235232134,30 días,Pagado
OC-5139,2019-04-01,2019-04-08,ElectroImport SA,TV/Audio,490168722,Contado,Pagado
OC-5140,2019-04-01,2019-04-16,AccesoriosTotal SRL,Accesorios,218569732,Contado,Pagado
OC-5141,2019-04-01,2019-04-08,MegaComputo SRL,Periféricos,27146331,60 días,Pagado
OC-5142,2019-04-01,2019-04-09,MegaComputo SRL,Almacenamiento,135147883,60 días,Pagado
OC-5143,2019-04-01,2019-04-10,NetSupply SA,Redes,144826416,60 días,Pagado
OC-5144,2019-04-01,2019-04-07,NetSupply SA,Seguridad,108863678,Contado,Pagado
OC-5145,2019-05-01,2019-05-17,DistribuidoraTech SA,Smartphones,738564625,Contado,Pagado
OC-5146,2019-05-01,2019-05-15,MegaComputo SRL,Computación,812177681,60 días,Pagado
OC-5147,2019-05-01,2019-05-17,DistribuidoraTech SA,Tablets,354323051,60 días,Pagado
OC-5148,2019-05-01,2019-05-13,ElectroImport SA,TV/Audio,481210267,30 días,Pagado
OC-5149,2019-05-01,2019-05-05,AccesoriosTotal SRL,Accesorios,264886368,Contado,Pagado
OC-5150,2019-05-01,2019-05-14,MegaComputo SRL,Periféricos,423532672,60 días,Pagado
OC-5151,2019-05-01,2019-05-16,MegaComputo SRL,Almacenamiento,198135204,60 días,Pagado
OC-5152,2019-05-01,2019-05-18,NetSupply SA,Redes,171901368,Contado,Pagado
OC-5153,2019-05-01,2019-05-05,NetSupply SA,Seguridad,161118858,Contado,Pagado
OC-5154,2019-06-01,2019-06-05,DistribuidoraTech SA,Smartphones,521035429,Contado,Pagado
OC-5155,2019-06-01,2019-06-07,MegaComputo SRL,Computación,573557499,60 días,Pagado
OC-5156,2019-06-01,2019-06-17,DistribuidoraTech SA,Tablets,263242735,Contado,Pagado
OC-5157,2019-06-01,2019-06-05,ElectroImport SA,TV/Audio,396069091,Contado,Pagado
OC-5158,2019-06-01,2019-06-09,AccesoriosTotal SRL,Accesorios,198671251,Contado,Pagado
OC-5159,2019-06-01,2019-06-18,MegaComputo SRL,Periféricos,275262114,60 días,Pagado
OC-5160,2019-06-01,2019-06-09,MegaComputo SRL,Almacenamiento,157674135,60 días,Pagado
OC-5161,2019-06-01,2019-06-09,NetSupply SA,Redes,140409961,60 días,Pagado
OC-5162,2019-06-01,2019-06-08,NetSupply SA,Seguridad,98437766,Contado,Pagado
OC-5163,2019-07-01,2019-07-11,DistribuidoraTech SA,Smartphones,694593115,30 días,Pagado
OC-5164,2019-07-01,2019-07-16,MegaComputo SRL,Computación,747673764,Contado,Pagado
OC-5165,2019-07-01,2019-07-14,DistribuidoraTech SA,Tablets,298035438,Contado,Pagado
OC-5166,2019-07-01,2019-07-12,ElectroImport SA,TV/Audio,490855323,60 días,Pagado
OC-5167,2019-07-01,2019-07-14,AccesoriosTotal SRL,Accesorios,264274945,30 días,Pagado
OC-5168,2019-07-01,2019-07-14,MegaComputo SRL,Periféricos,327113357,Contado,Pagado
OC-5169,2019-07-01,2019-07-11,MegaComputo SRL,Almacenamiento,225670028,Contado,Pagado
OC-5170,2019-07-01,2019-07-14,NetSupply SA,Redes,178680937,60 días,Pagado
OC-5171,2019-07-01,2019-07-13,NetSupply SA,Seguridad,141600877,Contado,Pagado
OC-5172,2019-08-01,2019-08-15,DistribuidoraTech SA,Smartphones,484163318,60 días,Pagado
OC-5173,2019-08-01,2019-08-17,MegaComputo SRL,Computación,501887808,30 días,Pagado
OC-5174,2019-08-01,2019-08-18,DistribuidoraTech SA,Tablets,22503125,60 días,Pagado
OC-5175,2019-08-01,2019-08-18,ElectroImport SA,TV/Audio,437647198,Contado,Pagado
OC-5176,2019-08-01,2019-08-18,AccesoriosTotal SRL,Accesorios,183030203,30 días,Pagado
OC-5177,2019-08-01,2019-08-09,MegaComputo SRL,Periféricos,254576858,30 días,Pagado
OC-5178,2019-08-01,2019-08-08,MegaComputo SRL,Almacenamiento,142050747,30 días,Pagado
OC-5179,2019-08-01,2019-08-13,NetSupply SA,Redes,12277523,60 días,Pagado
OC-5180,2019-08-01,2019-08-18,NetSupply SA,Seguridad,9703996,60 días,Pagado
OC-5181,2019-09-01,2019-09-06,DistribuidoraTech SA,Smartphones,571302566,Contado,Pagado
OC-5182,2019-09-01,2019-09-09,MegaComputo SRL,Computación,599027844,30 días,Pagado
OC-5183,2019-09-01,2019-09-18,DistribuidoraTech SA,Tablets,238168193,Contado,Pagado
OC-5184,2019-09-01,2019-09-20,ElectroImport SA,TV/Audio,385513605,60 días,Pagado
OC-5185,2019-09-01,2019-09-20,AccesoriosTotal SRL,Accesorios,224468134,60 días,Pagado
OC-5186,2019-09-01,2019-09-16,MegaComputo SRL,Periféricos,289198421,Contado,Pagado
OC-5187,2019-09-01,2019-09-18,MegaComputo SRL,Almacenamiento,166265361,Contado,Pagado
OC-5188,2019-09-01,2019-09-13,NetSupply SA,Redes,137060963,60 días,Pagado
OC-5189,2019-09-01,2019-09-11,NetSupply SA,Seguridad,12340932,60 días,Pagado
OC-5190,2019-10-01,2019-10-12,DistribuidoraTech SA,Smartphones,756851715,30 días,Pagado
OC-5191,2019-10-01,2019-10-05,MegaComputo SRL,Computación,800144973,60 días,Pagado
OC-5192,2019-10-01,2019-10-09,DistribuidoraTech SA,Tablets,309561162,30 días,Pagado
OC-5193,2019-10-01,2019-10-17,ElectroImport SA,TV/Audio,540139675,60 días,Pagado
OC-5194,2019-10-01,2019-10-14,AccesoriosTotal SRL,Accesorios,245402312,30 días,Pagado
OC-5195,2019-10-01,2019-10-10,MegaComputo SRL,Periféricos,283910743,30 días,Pagado
OC-5196,2019-10-01,2019-10-08,MegaComputo SRL,Almacenamiento,223034093,30 días,Pagado
OC-5197,2019-10-01,2019-10-17,NetSupply SA,Redes,169021451,30 días,Pagado
OC-5198,2019-10-01,2019-10-06,NetSupply SA,Seguridad,170352532,30 días,Pagado
OC-5199,2019-11-01,2019-11-11,DistribuidoraTech SA,Smartphones,710275679,60 días,Pagado
OC-5200,2019-11-01,2019-11-08,MegaComputo SRL,Computación,847575873,60 días,Pagado
OC-5201,2019-11-01,2019-11-09,DistribuidoraTech SA,Tablets,362695959,Contado,Pagado
OC-5202,2019-11-01,2019-11-19,ElectroImport SA,TV/Audio,564928816,Contado,Pagado
OC-5203,2019-11-01,2019-11-17,AccesoriosTotal SRL,Accesorios,291600884,30 días,Pagado
OC-5204,2019-11-01,2019-11-06,MegaComputo SRL,Periféricos,366744548,60 días,Pagado
OC-5205,2019-11-01,2019-11-14,MegaComputo SRL,Almacenamiento,216246428,Contado,Pagado
OC-5206,2019-11-01,2019-11-17,NetSupply SA,Redes,192212462,60 días,Pagado
OC-5207,2019-11-01,2019-11-10,NetSupply SA,Seguridad,149668527,60 días,Pagado
OC-5208,2019-12-01,2019-12-11,DistribuidoraTech SA,Smartphones,821977947,60 días,Pagado
OC-5209,2019-12-01,2019-12-08,MegaComputo SRL,Computación,1089686703,60 días,Pagado
OC-5210,2019-12-01,2019-12-14,DistribuidoraTech SA,Tablets,455099724,30 días,Pagado
OC-5211,2019-12-01,2019-12-05,ElectroImport SA,TV/Audio,783016511,Contado,Pagado
OC-5212,2019-12-01,2019-12-09,AccesoriosTotal SRL,Accesorios,44453522,Contado,Pagado
OC-5213,2019-12-01,2019-12-19,MegaComputo SRL,Periféricos,504649199,30 días,Pagado
OC-5214,2019-12-01,2019-12-08,MegaComputo SRL,Almacenamiento,295144098,Contado,Pagado
OC-5215,2019-12-01,2019-12-13,NetSupply SA,Redes,263352015,Contado,Pagado
OC-5216,2019-12-01,2019-12-08,NetSupply SA,Seguridad,232002448,Contado,Pagado
OC-5217,2020-01-01,2020-01-19,DistribuidoraTech SA,Smartphones,780548666,30 días,Pagado
OC-5218,2020-01-01,2020-01-08,MegaComputo SRL,Computación,94177924,60 días,Pagado
OC-5219,2020-01-01,2020-01-16,DistribuidoraTech SA,Tablets,407593345,30 días,Pagado
OC-5220,2020-01-01,2020-01-06,ElectroImport SA,TV/Audio,620021058,Contado,Pagado
OC-5221,2020-01-01,2020-01-05,AccesoriosTotal SRL,Accesorios,286214691,Contado,Pagado
OC-5222,2020-01-01,2020-01-07,MegaComputo SRL,Periféricos,408645112,60 días,Pagado
OC-5223,2020-01-01,2020-01-12,MegaComputo SRL,Almacenamiento,262413174,30 días,Pagado
OC-5224,2020-01-01,2020-01-09,NetSupply SA,Redes,192894762,Contado,Pagado
OC-5225,2020-01-01,2020-01-09,NetSupply SA,Seguridad,171762299,Contado,Pagado
OC-5226,2020-02-01,2020-02-20,DistribuidoraTech SA,Smartphones,857078546,60 días,Pagado
OC-5227,2020-02-01,2020-02-06,MegaComputo SRL,Computación,992382252,30 días,Pagado
OC-5228,2020-02-01,2020-02-18,DistribuidoraTech SA,Tablets,411097476,60 días,Pagado
OC-5229,2020-02-01,2020-02-14,ElectroImport SA,TV/Audio,728083217,Contado,Pagado
OC-5230,2020-02-01,2020-02-19,AccesoriosTotal SRL,Accesorios,342827329,30 días,Pagado
OC-5231,2020-02-01,2020-02-16,MegaComputo SRL,Periféricos,447829201,Contado,Pagado
OC-5232,2020-02-01,2020-02-15,MegaComputo SRL,Almacenamiento,232651943,Contado,Pagado
OC-5233,2020-02-01,2020-02-20,NetSupply SA,Redes,242843727,30 días,Pagado
OC-5234,2020-02-01,2020-02-12,NetSupply SA,Seguridad,184602607,30 días,Pagado
OC-5235,2020-03-01,2020-03-13,DistribuidoraTech SA,Smartphones,33299425,Contado,Pagado
OC-5236,2020-03-01,2020-03-10,MegaComputo SRL,Computación,33303575,Contado,Pagado
OC-5237,2020-03-01,2020-03-14,DistribuidoraTech SA,Tablets,11748262,60 días,Pagado
OC-5238,2020-03-01,2020-03-19,ElectroImport SA,TV/Audio,25018113,60 días,Pagado
OC-5239,2020-03-01,2020-03-20,AccesoriosTotal SRL,Accesorios,11551556,60 días,Pagado
OC-5240,2020-03-01,2020-03-14,MegaComputo SRL,Periféricos,16551203,60 días,Pagado
OC-5241,2020-03-01,2020-03-14,MegaComputo SRL,Almacenamiento,8993373,Contado,Pagado
OC-5242,2020-03-01,2020-03-11,NetSupply SA,Redes,885265,30 días,Pagado
OC-5243,2020-03-01,2020-03-07,NetSupply SA,Seguridad,5662606,60 días,Pagado
OC-5244,2020-04-01,2020-04-07,DistribuidoraTech SA,Smartphones,21437864,30 días,Pagado
OC-5245,2020-04-01,2020-04-17,MegaComputo SRL,Computación,24233511,Contado,Pagado
OC-5246,2020-04-01,2020-04-08,DistribuidoraTech SA,Tablets,9210647,60 días,Pagado
OC-5247,2020-04-01,2020-04-18,ElectroImport SA,TV/Audio,15025357,Contado,Pagado
OC-5248,2020-04-01,2020-04-09,AccesoriosTotal SRL,Accesorios,8274759,Contado,Pagado
OC-5249,2020-04-01,2020-04-07,MegaComputo SRL,Periféricos,8982191,30 días,Pagado
OC-5250,2020-04-01,2020-04-18,MegaComputo SRL,Almacenamiento,5954678,Contado,Pagado
OC-5251,2020-04-01,2020-04-16,NetSupply SA,Redes,518102,60 días,Pagado
OC-5252,2020-04-01,2020-04-06,NetSupply SA,Seguridad,4541392,30 días,Pagado
OC-5253,2020-05-01,2020-05-15,DistribuidoraTech SA,Smartphones,66759402,60 días,Pagado
OC-5254,2020-05-01,2020-05-19,MegaComputo SRL,Computación,69506841,60 días,Pagado
OC-5255,2020-05-01,2020-05-05,DistribuidoraTech SA,Tablets,28289851,60 días,Pagado
OC-5256,2020-05-01,2020-05-16,ElectroImport SA,TV/Audio,49936656,30 días,Pagado
OC-5257,2020-05-01,2020-05-10,AccesoriosTotal SRL,Accesorios,28041017,Contado,Pagado
OC-5258,2020-05-01,2020-05-18,MegaComputo SRL,Periféricos,28771692,Contado,Pagado
OC-5259,2020-05-01,2020-05-19,MegaComputo SRL,Almacenamiento,18262425,60 días,Pagado
OC-5260,2020-05-01,2020-05-11,NetSupply SA,Redes,14379513,60 días,Pagado
OC-5261,2020-05-01,2020-05-20,NetSupply SA,Seguridad,13671604,Contado,Pagado
OC-5262,2020-06-01,2020-06-18,DistribuidoraTech SA,Smartphones,360005657,Contado,Pagado
OC-5263,2020-06-01,2020-06-15,MegaComputo SRL,Computación,369436312,Contado,Pagado
OC-5264,2020-06-01,2020-06-19,DistribuidoraTech SA,Tablets,151967889,Contado,Pagado
OC-5265,2020-06-01,2020-06-13,ElectroImport SA,TV/Audio,246092249,60 días,Pagado
OC-5266,2020-06-01,2020-06-14,AccesoriosTotal SRL,Accesorios,133455555,30 días,Pagado
OC-5267,2020-06-01,2020-06-08,MegaComputo SRL,Periféricos,15090747,Contado,Pagado
OC-5268,2020-06-01,2020-06-12,MegaComputo SRL,Almacenamiento,91900558,Contado,Pagado
OC-5269,2020-06-01,2020-06-13,NetSupply SA,Redes,80034956,30 días,Pagado
OC-5270,2020-06-01,2020-06-17,NetSupply SA,Seguridad,64438183,Contado,Pagado
OC-5271,2020-07-01,2020-07-18,DistribuidoraTech SA,Smartphones,614850638,60 días,Pagado
OC-5272,2020-07-01,2020-07-18,MegaComputo SRL,Computación,632525047,30 días,Pagado
OC-5273,2020-07-01,2020-07-14,DistribuidoraTech SA,Tablets,244226906,60 días,Pagado
OC-5274,2020-07-01,2020-07-11,ElectroImport SA,TV/Audio,489028344,60 días,Pagado
OC-5275,2020-07-01,2020-07-07,AccesoriosTotal SRL,Accesorios,256454136,30 días,Pagado
OC-5276,2020-07-01,2020-07-07,MegaComputo SRL,Periféricos,269302046,60 días,Pagado
OC-5277,2020-07-01,2020-07-05,MegaComputo SRL,Almacenamiento,16626577,60 días,Pagado
OC-5278,2020-07-01,2020-07-20,NetSupply SA,Redes,121115462,60 días,Pagado
OC-5279,2020-07-01,2020-07-10,NetSupply SA,Seguridad,10897085,Contado,Pagado
OC-5280,2020-08-01,2020-08-14,DistribuidoraTech SA,Smartphones,494416554,60 días,Pagado
OC-5281,2020-08-01,2020-08-15,MegaComputo SRL,Computación,488281969,30 días,Pagado
OC-5282,2020-08-01,2020-08-14,DistribuidoraTech SA,Tablets,253874797,Contado,Pagado
OC-5283,2020-08-01,2020-08-06,ElectroImport SA,TV/Audio,421780534,Contado,Pagado
