id_registro,fecha_semana,anio,mes,tipo_residuo,descripcion,kg_generados,kg_reciclados,kg_disposicion,operador_retiro
RES-001037,2018-02-12,2018,2,Plástico,"Film, espumas y plásticos varios",8.32,0.0,8.32,VerdeLogística
RES-001038,2018-02-12,2018,2,E-waste,Componentes y productos defectuosos,6.65,1.08,5.57,EcoRetiro SA
RES-001039,2018-02-12,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.39,1.63,Municipal
RES-001040,2018-02-12,2018,2,Residuo general,Residuos de oficina y comedor,8.26,0.0,8.26,EcoRetiro SA
RES-001041,2018-02-12,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.37,0.4,1.97,EcoRetiro SA
RES-001042,2018-02-19,2018,2,Embalaje cartón,Cajas y embalajes de productos,17.54,3.42,14.12,Municipal
RES-001043,2018-02-19,2018,2,Plástico,"Film, espumas y plásticos varios",10.99,0.0,10.99,VerdeLogística
RES-001044,2018-02-19,2018,2,E-waste,Componentes y productos defectuosos,6.33,1.14,5.19,Municipal
RES-001045,2018-02-19,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,1.93,0.33,1.6,EcoRetiro SA
RES-001046,2018-02-19,2018,2,Residuo general,Residuos de oficina y comedor,5.79,0.0,5.79,Municipal
RES-001047,2018-02-19,2018,2,Papel y cartón of.,Papel de impresión y documentos,3.23,0.53,2.71,Municipal
RES-001048,2018-02-26,2018,2,Embalaje cartón,Cajas y embalajes de productos,16.46,3.35,13.11,Municipal
RES-001049,2018-02-26,2018,2,Plástico,"Film, espumas y plásticos varios",8.62,0.0,8.62,Municipal
RES-001050,2018-02-26,2018,2,E-waste,Componentes y productos defectuosos,5.7,1.01,4.69,VerdeLogística
RES-001051,2018-02-26,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.34,0.36,1.98,EcoRetiro SA
RES-001052,2018-02-26,2018,2,Residuo general,Residuos de oficina y comedor,8.36,0.0,8.36,EcoRetiro SA
RES-001053,2018-02-26,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.98,0.56,2.42,VerdeLogística
RES-001054,2018-03-05,2018,3,Embalaje cartón,Cajas y embalajes de productos,22.31,3.87,18.44,EcoRetiro SA
RES-001055,2018-03-05,2018,3,Plástico,"Film, espumas y plásticos varios",10.81,0.0,10.81,VerdeLogística
RES-001056,2018-03-05,2018,3,E-waste,Componentes y productos defectuosos,4.88,0.83,4.05,VerdeLogística
RES-001057,2018-03-05,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,1.93,0.3,1.63,Municipal
RES-001058,2018-03-05,2018,3,Residuo general,Residuos de oficina y comedor,7.2,0.0,7.2,EcoRetiro SA
RES-001059,2018-03-05,2018,3,Papel y cartón of.,Papel de impresión y documentos,2.91,0.56,2.35,EcoRetiro SA
RES-001060,2018-03-12,2018,3,Embalaje cartón,Cajas y embalajes de productos,21.87,3.2,18.68,Municipal
RES-001061,2018-03-12,2018,3,Plástico,"Film, espumas y plásticos varios",9.54,0.0,9.54,Municipal
RES-001062,2018-03-12,2018,3,E-waste,Componentes y productos defectuosos,5.11,0.81,4.3,VerdeLogística
RES-001063,2018-03-12,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.1,0.39,1.71,EcoRetiro SA
RES-001064,2018-03-12,2018,3,Residuo general,Residuos de oficina y comedor,8.19,0.0,8.19,VerdeLogística
RES-001065,2018-03-12,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.17,0.61,2.56,VerdeLogística
RES-001066,2018-03-19,2018,3,Embalaje cartón,Cajas y embalajes de productos,24.94,5.4,19.55,VerdeLogística
RES-001067,2018-03-19,2018,3,Plástico,"Film, espumas y plásticos varios",11.6,0.0,11.6,Municipal
RES-001068,2018-03-19,2018,3,E-waste,Componentes y productos defectuosos,5.7,0.85,4.85,VerdeLogística
RES-001069,2018-03-19,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.56,0.45,2.11,EcoRetiro SA
RES-001070,2018-03-19,2018,3,Residuo general,Residuos de oficina y comedor,8.2,0.0,8.2,EcoRetiro SA
RES-001071,2018-03-19,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.21,0.57,2.64,VerdeLogística
RES-001072,2018-03-26,2018,3,Embalaje cartón,Cajas y embalajes de productos,22.04,3.83,18.21,EcoRetiro SA
RES-001073,2018-03-26,2018,3,Plástico,"Film, espumas y plásticos varios",5.68,0.0,5.68,Municipal
RES-001074,2018-03-26,2018,3,E-waste,Componentes y productos defectuosos,4.54,0.78,3.76,EcoRetiro SA
RES-001075,2018-03-26,2018,3,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.38,1.63,VerdeLogística
RES-001076,2018-03-26,2018,3,Residuo general,Residuos de oficina y comedor,6.85,0.0,6.85,Municipal
RES-001077,2018-03-26,2018,3,Papel y cartón of.,Papel de impresión y documentos,3.31,0.58,2.73,VerdeLogística
RES-001078,2018-04-02,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.46,4.06,18.4,EcoRetiro SA
RES-001079,2018-04-02,2018,4,Plástico,"Film, espumas y plásticos varios",10.55,0.0,10.55,VerdeLogística
RES-001080,2018-04-02,2018,4,E-waste,Componentes y productos defectuosos,5.31,0.99,4.32,Municipal
RES-001081,2018-04-02,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.22,0.42,1.8,Municipal
RES-001082,2018-04-02,2018,4,Residuo general,Residuos de oficina y comedor,6.75,0.0,6.75,EcoRetiro SA
RES-001083,2018-04-02,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.78,0.53,2.25,Municipal
RES-001084,2018-04-09,2018,4,Embalaje cartón,Cajas y embalajes de productos,23.27,3.86,19.41,Municipal
RES-001085,2018-04-09,2018,4,Plástico,"Film, espumas y plásticos varios",9.56,0.0,9.56,EcoRetiro SA
RES-001086,2018-04-09,2018,4,E-waste,Componentes y productos defectuosos,6.14,1.21,4.94,VerdeLogística
RES-001087,2018-04-09,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.31,0.42,1.89,VerdeLogística
RES-001088,2018-04-09,2018,4,Residuo general,Residuos de oficina y comedor,7.93,0.0,7.93,Municipal
RES-001089,2018-04-09,2018,4,Papel y cartón of.,Papel de impresión y documentos,3.5,0.59,2.91,VerdeLogística
RES-001090,2018-04-16,2018,4,Embalaje cartón,Cajas y embalajes de productos,27.23,5.24,21.99,Municipal
RES-001091,2018-04-16,2018,4,Plástico,"Film, espumas y plásticos varios",10.5,0.0,10.5,Municipal
RES-001092,2018-04-16,2018,4,E-waste,Componentes y productos defectuosos,4.11,0.7,3.41,Municipal
RES-001093,2018-04-16,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,1.82,0.37,1.44,EcoRetiro SA
RES-001094,2018-04-16,2018,4,Residuo general,Residuos de oficina y comedor,6.51,0.0,6.51,EcoRetiro SA
RES-001095,2018-04-16,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.52,0.4,2.12,Municipal
RES-001096,2018-04-23,2018,4,Embalaje cartón,Cajas y embalajes de productos,22.42,4.2,18.22,VerdeLogística
RES-001097,2018-04-23,2018,4,Plástico,"Film, espumas y plásticos varios",12.12,0.0,12.12,VerdeLogística
RES-001098,2018-04-23,2018,4,E-waste,Componentes y productos defectuosos,5.18,0.86,4.32,Municipal
RES-001099,2018-04-23,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.47,0.52,1.95,Municipal
RES-001100,2018-04-23,2018,4,Residuo general,Residuos de oficina y comedor,5.52,0.0,5.52,EcoRetiro SA
RES-001101,2018-04-23,2018,4,Papel y cartón of.,Papel de impresión y documentos,2.77,0.51,2.26,VerdeLogística
RES-001102,2018-04-30,2018,4,Embalaje cartón,Cajas y embalajes de productos,24.42,5.37,19.05,Municipal
RES-001103,2018-04-30,2018,4,Plástico,"Film, espumas y plásticos varios",8.71,0.0,8.71,Municipal
RES-001104,2018-04-30,2018,4,E-waste,Componentes y productos defectuosos,4.55,0.76,3.8,VerdeLogística
RES-001105,2018-04-30,2018,4,Pilas y baterías,Pilas agotadas y baterías de litio,2.33,0.42,1.91,VerdeLogística
RES-001106,2018-04-30,2018,4,Residuo general,Residuos de oficina y comedor,9.3,0.0,9.3,Municipal
RES-001107,2018-04-30,2018,4,Papel y cartón of.,Papel de impresión y documentos,3.29,0.55,2.74,EcoRetiro SA
RES-001108,2018-05-07,2018,5,Embalaje cartón,Cajas y embalajes de productos,26.82,5.41,21.41,VerdeLogística
RES-001109,2018-05-07,2018,5,Plástico,"Film, espumas y plásticos varios",11.58,0.0,11.58,VerdeLogística
RES-001110,2018-05-07,2018,5,E-waste,Componentes y productos defectuosos,4.34,0.8,3.54,VerdeLogística
RES-001111,2018-05-07,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.67,0.29,1.37,VerdeLogística
RES-001112,2018-05-07,2018,5,Residuo general,Residuos de oficina y comedor,7.24,0.0,7.24,EcoRetiro SA
RES-001113,2018-05-07,2018,5,Papel y cartón of.,Papel de impresión y documentos,3.13,0.59,2.54,VerdeLogística
RES-001114,2018-05-14,2018,5,Embalaje cartón,Cajas y embalajes de productos,21.6,4.36,17.24,EcoRetiro SA
RES-001115,2018-05-14,2018,5,Plástico,"Film, espumas y plásticos varios",11.4,0.0,11.4,VerdeLogística
RES-001116,2018-05-14,2018,5,E-waste,Componentes y productos defectuosos,5.65,1.19,4.46,EcoRetiro SA
RES-001117,2018-05-14,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.29,1.69,Municipal
RES-001118,2018-05-14,2018,5,Residuo general,Residuos de oficina y comedor,6.46,0.0,6.46,EcoRetiro SA
RES-001119,2018-05-14,2018,5,Papel y cartón of.,Papel de impresión y documentos,2.8,0.55,2.25,VerdeLogística
RES-001120,2018-05-21,2018,5,Embalaje cartón,Cajas y embalajes de productos,20.25,3.62,16.63,EcoRetiro SA
RES-001121,2018-05-21,2018,5,Plástico,"Film, espumas y plásticos varios",13.03,0.0,13.03,Municipal
RES-001122,2018-05-21,2018,5,E-waste,Componentes y productos defectuosos,5.69,1.19,4.5,VerdeLogística
RES-001123,2018-05-21,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.64,0.24,1.4,EcoRetiro SA
RES-001124,2018-05-21,2018,5,Residuo general,Residuos de oficina y comedor,5.69,0.0,5.69,VerdeLogística
RES-001125,2018-05-21,2018,5,Papel y cartón of.,Papel de impresión y documentos,3.49,0.61,2.87,Municipal
RES-001126,2018-05-28,2018,5,Embalaje cartón,Cajas y embalajes de productos,22.58,4.77,17.82,EcoRetiro SA
RES-001127,2018-05-28,2018,5,Plástico,"Film, espumas y plásticos varios",11.05,0.0,11.05,VerdeLogística
RES-001128,2018-05-28,2018,5,E-waste,Componentes y productos defectuosos,5.88,1.19,4.7,VerdeLogística
RES-001129,2018-05-28,2018,5,Pilas y baterías,Pilas agotadas y baterías de litio,1.95,0.36,1.59,Municipal
RES-001130,2018-05-28,2018,5,Residuo general,Residuos de oficina y comedor,6.14,0.0,6.14,EcoRetiro SA
RES-001131,2018-05-28,2018,5,Papel y cartón of.,Papel de impresión y documentos,2.66,0.47,2.19,VerdeLogística
RES-001132,2018-06-04,2018,6,Embalaje cartón,Cajas y embalajes de productos,23.66,4.68,18.98,VerdeLogística
RES-001133,2018-06-04,2018,6,Plástico,"Film, espumas y plásticos varios",11.26,0.0,11.26,EcoRetiro SA
RES-001134,2018-06-04,2018,6,E-waste,Componentes y productos defectuosos,7.86,1.74,6.12,VerdeLogística
RES-001135,2018-06-04,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,2.34,0.36,1.98,Municipal
RES-001136,2018-06-04,2018,6,Residuo general,Residuos de oficina y comedor,9.11,0.0,9.11,EcoRetiro SA
RES-001137,2018-06-04,2018,6,Papel y cartón of.,Papel de impresión y documentos,3.85,0.7,3.15,EcoRetiro SA
RES-001138,2018-06-11,2018,6,Embalaje cartón,Cajas y embalajes de productos,17.71,3.25,14.46,EcoRetiro SA
RES-001139,2018-06-11,2018,6,Plástico,"Film, espumas y plásticos varios",10.77,0.0,10.77,EcoRetiro SA
RES-001140,2018-06-11,2018,6,E-waste,Componentes y productos defectuosos,5.7,0.98,4.72,Municipal
RES-001141,2018-06-11,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.4,1.58,Municipal
RES-001142,2018-06-11,2018,6,Residuo general,Residuos de oficina y comedor,8.03,0.0,8.03,VerdeLogística
RES-001143,2018-06-11,2018,6,Papel y cartón of.,Papel de impresión y documentos,3.66,0.73,2.93,VerdeLogística
RES-001144,2018-06-18,2018,6,Embalaje cartón,Cajas y embalajes de productos,23.06,4.5,18.56,EcoRetiro SA
RES-001145,2018-06-18,2018,6,Plástico,"Film, espumas y plásticos varios",11.64,0.0,11.64,EcoRetiro SA
RES-001146,2018-06-18,2018,6,E-waste,Componentes y productos defectuosos,5.62,1.08,4.54,Municipal
RES-001147,2018-06-18,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.54,0.27,1.28,VerdeLogística
RES-001148,2018-06-18,2018,6,Residuo general,Residuos de oficina y comedor,7.33,0.0,7.33,VerdeLogística
RES-001149,2018-06-18,2018,6,Papel y cartón of.,Papel de impresión y documentos,2.54,0.46,2.08,VerdeLogística
RES-001150,2018-06-25,2018,6,Embalaje cartón,Cajas y embalajes de productos,29.79,5.53,24.26,Municipal
RES-001151,2018-06-25,2018,6,Plástico,"Film, espumas y plásticos varios",11.41,0.0,11.41,VerdeLogística
RES-001152,2018-06-25,2018,6,E-waste,Componentes y productos defectuosos,6.09,1.28,4.8,VerdeLogística
RES-001153,2018-06-25,2018,6,Pilas y baterías,Pilas agotadas y baterías de litio,1.98,0.33,1.65,VerdeLogística
RES-001154,2018-06-25,2018,6,Residuo general,Residuos de oficina y comedor,8.38,0.0,8.38,VerdeLogística
RES-001155,2018-06-25,2018,6,Papel y cartón of.,Papel de impresión y documentos,2.29,0.44,1.86,EcoRetiro SA
RES-001156,2018-07-02,2018,7,Embalaje cartón,Cajas y embalajes de productos,15.89,2.61,13.28,VerdeLogística
RES-001157,2018-07-02,2018,7,Plástico,"Film, espumas y plásticos varios",10.0,0.0,10.0,EcoRetiro SA
RES-001158,2018-07-02,2018,7,E-waste,Componentes y productos defectuosos,4.45,0.77,3.68,Municipal
RES-001159,2018-07-02,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,1.61,0.31,1.3,Municipal
RES-001160,2018-07-02,2018,7,Residuo general,Residuos de oficina y comedor,8.78,0.0,8.78,VerdeLogística
RES-001161,2018-07-02,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.0,0.66,2.34,VerdeLogística
RES-001162,2018-07-09,2018,7,Embalaje cartón,Cajas y embalajes de productos,22.92,3.57,19.34,Municipal
RES-001163,2018-07-09,2018,7,Plástico,"Film, espumas y plásticos varios",7.46,0.0,7.46,EcoRetiro SA
RES-001164,2018-07-09,2018,7,E-waste,Componentes y productos defectuosos,5.38,1.0,4.38,EcoRetiro SA
RES-001165,2018-07-09,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.75,0.44,2.31,Municipal
RES-001166,2018-07-09,2018,7,Residuo general,Residuos de oficina y comedor,6.79,0.0,6.79,VerdeLogística
RES-001167,2018-07-09,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.22,0.58,2.63,EcoRetiro SA
RES-001168,2018-07-16,2018,7,Embalaje cartón,Cajas y embalajes de productos,21.6,3.87,17.73,EcoRetiro SA
RES-001169,2018-07-16,2018,7,Plástico,"Film, espumas y plásticos varios",7.88,0.0,7.88,EcoRetiro SA
RES-001170,2018-07-16,2018,7,E-waste,Componentes y productos defectuosos,5.13,0.82,4.31,EcoRetiro SA
RES-001171,2018-07-16,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.31,0.45,1.87,EcoRetiro SA
RES-001172,2018-07-16,2018,7,Residuo general,Residuos de oficina y comedor,7.44,0.0,7.44,EcoRetiro SA
RES-001173,2018-07-16,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.01,0.55,2.45,Municipal
RES-001174,2018-07-23,2018,7,Embalaje cartón,Cajas y embalajes de productos,22.13,3.31,18.82,VerdeLogística
RES-001175,2018-07-23,2018,7,Plástico,"Film, espumas y plásticos varios",9.01,0.0,9.01,VerdeLogística
RES-001176,2018-07-23,2018,7,E-waste,Componentes y productos defectuosos,5.9,1.16,4.74,EcoRetiro SA
RES-001177,2018-07-23,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,2.02,0.34,1.68,VerdeLogística
RES-001178,2018-07-23,2018,7,Residuo general,Residuos de oficina y comedor,8.13,0.0,8.13,EcoRetiro SA
RES-001179,2018-07-23,2018,7,Papel y cartón of.,Papel de impresión y documentos,3.08,0.5,2.58,EcoRetiro SA
RES-001180,2018-07-30,2018,7,Embalaje cartón,Cajas y embalajes de productos,17.34,2.95,14.39,VerdeLogística
RES-001181,2018-07-30,2018,7,Plástico,"Film, espumas y plásticos varios",11.67,0.0,11.67,VerdeLogística
RES-001182,2018-07-30,2018,7,E-waste,Componentes y productos defectuosos,5.96,1.23,4.73,VerdeLogística
RES-001183,2018-07-30,2018,7,Pilas y baterías,Pilas agotadas y baterías de litio,1.99,0.36,1.63,EcoRetiro SA
RES-001184,2018-07-30,2018,7,Residuo general,Residuos de oficina y comedor,4.47,0.0,4.47,Municipal
RES-001185,2018-07-30,2018,7,Papel y cartón of.,Papel de impresión y documentos,2.14,0.4,1.74,VerdeLogística
RES-001186,2018-08-06,2018,8,Embalaje cartón,Cajas y embalajes de productos,24.43,3.4,21.03,EcoRetiro SA
RES-001187,2018-08-06,2018,8,Plástico,"Film, espumas y plásticos varios",9.69,0.0,9.69,EcoRetiro SA
RES-001188,2018-08-06,2018,8,E-waste,Componentes y productos defectuosos,6.33,1.18,5.15,VerdeLogística
RES-001189,2018-08-06,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.84,0.25,1.59,EcoRetiro SA
RES-001190,2018-08-06,2018,8,Residuo general,Residuos de oficina y comedor,7.96,0.0,7.96,VerdeLogística
RES-001191,2018-08-06,2018,8,Papel y cartón of.,Papel de impresión y documentos,2.6,0.49,2.11,EcoRetiro SA
RES-001192,2018-08-13,2018,8,Embalaje cartón,Cajas y embalajes de productos,26.24,5.16,21.08,VerdeLogística
RES-001193,2018-08-13,2018,8,Plástico,"Film, espumas y plásticos varios",10.04,0.0,10.04,VerdeLogística
RES-001194,2018-08-13,2018,8,E-waste,Componentes y productos defectuosos,5.21,0.99,4.22,EcoRetiro SA
RES-001195,2018-08-13,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.7,0.35,1.35,EcoRetiro SA
RES-001196,2018-08-13,2018,8,Residuo general,Residuos de oficina y comedor,6.73,0.0,6.73,EcoRetiro SA
RES-001197,2018-08-13,2018,8,Papel y cartón of.,Papel de impresión y documentos,3.82,0.67,3.15,EcoRetiro SA
RES-001198,2018-08-20,2018,8,Embalaje cartón,Cajas y embalajes de productos,25.51,4.65,20.86,VerdeLogística
RES-001199,2018-08-20,2018,8,Plástico,"Film, espumas y plásticos varios",6.93,0.0,6.93,VerdeLogística
RES-001200,2018-08-20,2018,8,E-waste,Componentes y productos defectuosos,5.94,0.99,4.96,VerdeLogística
RES-001201,2018-08-20,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.96,0.36,1.61,Municipal
RES-001202,2018-08-20,2018,8,Residuo general,Residuos de oficina y comedor,6.34,0.0,6.34,VerdeLogística
RES-001203,2018-08-20,2018,8,Papel y cartón of.,Papel de impresión y documentos,2.73,0.55,2.18,VerdeLogística
RES-001204,2018-08-27,2018,8,Embalaje cartón,Cajas y embalajes de productos,19.06,3.63,15.43,VerdeLogística
RES-001205,2018-08-27,2018,8,Plástico,"Film, espumas y plásticos varios",8.96,0.0,8.96,EcoRetiro SA
RES-001206,2018-08-27,2018,8,E-waste,Componentes y productos defectuosos,6.32,1.22,5.11,VerdeLogística
RES-001207,2018-08-27,2018,8,Pilas y baterías,Pilas agotadas y baterías de litio,1.79,0.34,1.45,Municipal
RES-001208,2018-08-27,2018,8,Residuo general,Residuos de oficina y comedor,6.86,0.0,6.86,VerdeLogística
RES-001209,2018-08-27,2018,8,Papel y cartón of.,Papel de impresión y documentos,3.77,0.69,3.08,VerdeLogística
RES-001210,2018-09-03,2018,9,Embalaje cartón,Cajas y embalajes de productos,22.54,3.89,18.66,Municipal
RES-001211,2018-09-03,2018,9,Plástico,"Film, espumas y plásticos varios",8.99,0.0,8.99,EcoRetiro SA
RES-001212,2018-09-03,2018,9,E-waste,Componentes y productos defectuosos,5.26,1.01,4.24,Municipal
RES-001213,2018-09-03,2018,9,Pilas y baterías,Pilas agotadas y baterías de litio,1.85,0.31,1.55,Municipal
RES-001214,2018-09-03,2018,9,Residuo general,Residuos de oficina y comedor,8.71,0.0,8.71,EcoRetiro SA
RES-001215,2018-09-03,2018,9,Papel y cartón of.,Papel de impresión y documentos,3.61,0.6,3.01,EcoRetiro SA
RES-001216,2018-09-10,2018,9,Embalaje cartón,Cajas y embalajes de productos,22.71,4.6,18.11,Municipal
RES-001217,2018-09-10,2018,9,Plástico,"Film, espumas y plásticos varios",10.15,0.0,10.15,EcoRetiro SA
RES-001218,2018-09-10,2018,9,E-waste,Componentes y productos defectuosos,6.82,1.31,5.51,EcoRetiro SA
RES-001219,2018-09-10,2018,9,Pilas y baterías,Pilas agotadas y baterías de litio,2.15,0.37,1.77,EcoRetiro SA
RES-001220,2018-09-10,2018,9,Residuo general,Residuos de oficina y comedor,6.4,0.0,6.4,VerdeLogística
RES-001221,2018-09-10,2018,9,Papel y cartón of.,Papel de impresión y documentos,2.46,0.44,2.02,Municipal
RES-001222,2018-09-17,2018,9,Embalaje cartón,Cajas y embalajes de productos,28.77,4.64,24.13,Municipal
RES-001223,2018-09-17,2018,9,Plástico,"Film, espumas y plásticos varios",9.32,0.0,9.32,Municipal
RES-001224,2018-09-17,2018,9,E-waste,Componentes y productos defectuosos,4.13,0.85,3.28,Municipal
RES-001225,2018-09-17,2018,9,Pilas y baterías,Pilas agotadas y baterías de litio,1.76,0.39,1.37,EcoRetiro SA
RES-001226,2018-09-17,2018,9,Residuo general,Residuos de oficina y comedor,8.02,0.0,8.02,Municipal
RES-001227,2018-09-17,2018,9,Papel y cartón of.,Papel de impresión y documentos,3.69,0.55,3.14,Municipal
RES-001228,2018-09-24,2018,9,Embalaje cartón,Cajas y embalajes de productos,14.92,2.58,12.34,Municipal
RES-001229,2018-09-24,2018,9,Plástico,"Film, espumas y plásticos varios",9.56,0.0,9.56,Municipal
RES-001230,2018-09-24,2018,9,E-waste,Componentes y productos defectuosos,6.02,1.25,4.77,EcoRetiro SA
RES-001231,2018-09-24,2018,9,Pilas y baterías,Pilas agotadas y baterías de litio,1.91,0.33,1.58,VerdeLogística
RES-001232,2018-09-24,2018,9,Residuo general,Residuos de oficina y comedor,7.24,0.0,7.24,EcoRetiro SA
RES-001233,2018-09-24,2018,9,Papel y cartón of.,Papel de impresión y documentos,3.16,0.5,2.67,EcoRetiro SA
RES-001234,2018-10-01,2018,10,Embalaje cartón,Cajas y embalajes de productos,17.35,3.22,14.13,Municipal
RES-001235,2018-10-01,2018,10,Plástico,"Film, espumas y plásticos varios",7.57,0.0,7.57,VerdeLogística
