id_factura,fecha,anio,mes,tipo_servicio,proveedor,kwh_consumidos,kwh_generados,m3_gas,tarifa_unitaria,monto_ars,es_renovable
FAC-E-202211,2022-11-01,2022,11,Electricidad Red,EDENOR,49235,0,0,350228,17243446,FALSO
FAC-E-202212,2022-12-01,2022,12,Electricidad Red,EDENOR,42238,0,0,357342,15093435,FALSO
FAC-E-202301,2023-01-01,2023,1,Electricidad Red,EDENOR,41226,0,0,812343,33489377,FALSO
FAC-E-202302,2023-02-01,2023,2,Electricidad Red,EDENOR,47090,0,0,808025,38049768,FALSO
FAC-E-202303,2023-03-01,2023,3,Electricidad Red,EDENOR,46601,0,0,810117,37751996,FALSO
FAC-E-202304,2023-04-01,2023,4,Electricidad Red,EDENOR,49881,0,0,796963,39753378,FALSO
FAC-E-202305,2023-05-01,2023,5,Electricidad Red,EDENOR,50595,0,0,781015,39515592,FALSO
FAC-E-202306,2023-06-01,2023,6,Electricidad Red,EDENOR,51281,0,0,80981,41527787,FALSO
FAC-E-202307,2023-07-01,2023,7,Electricidad Red,EDENOR,52464,0,0,792063,41554726,FALSO
FAC-E-202308,2023-08-01,2023,8,Electricidad Red,EDENOR,44720,0,0,798264,35698613,FALSO
FAC-E-202309,2023-09-01,2023,9,Electricidad Red,EDENOR,51211,0,0,817339,41856902,FALSO
FAC-E-202310,2023-10-01,2023,10,Electricidad Red,EDENOR,45667,0,0,802963,36668707,FALSO
FAC-E-202311,2023-11-01,2023,11,Electricidad Red,EDENOR,44415,0,0,805298,35767242,FALSO
FAC-E-202312,2023-12-01,2023,12,Electricidad Red,EDENOR,42885,0,0,822562,35275412,FALSO
FAC-E-202401,2024-01-01,2024,1,Electricidad Red,EDENOR,32324,0,0,2262403,73130073,FALSO
FAC-E-202402,2024-02-01,2024,2,Electricidad Red,EDENOR,32494,0,0,2302112,74804256,FALSO
FAC-E-202403,2024-03-01,2024,3,Electricidad Red,EDENOR,34160,0,0,2233839,76308346,FALSO
FAC-E-202404,2024-04-01,2024,4,Electricidad Red,EDENOR,32621,0,0,2228444,72694298,FALSO
FAC-E-202405,2024-05-01,2024,5,Electricidad Red,EDENOR,33389,0,0,2255319,75303876,FALSO
FAC-E-202406,2024-06-01,2024,6,Electricidad Red,EDENOR,34135,0,0,213071,72730729,FALSO
FAC-E-202407,2024-07-01,2024,7,Electricidad Red,EDENOR,35901,0,0,2309898,82926731,FALSO
FAC-E-202408,2024-08-01,2024,8,Electricidad Red,EDENOR,33233,0,0,2213423,7355909,FALSO
FAC-E-202409,2024-09-01,2024,9,Electricidad Red,EDENOR,33343,0,0,2330205,77695545,FALSO
FAC-E-202410,2024-10-01,2024,10,Electricidad Red,EDENOR,33042,0,0,2259755,74666408,FALSO
FAC-E-202411,2024-11-01,2024,11,Electricidad Red,EDENOR,29820,0,0,2283328,6808795,FALSO
FAC-E-202412,2024-12-01,2024,12,Electricidad Red,EDENOR,27431,0,0,2185205,59941521,FALSO
FAC-E-202501,2025-01-01,2025,1,Electricidad Red,EDENOR,29549,0,0,3454264,102069088,FALSO
FAC-E-202502,2025-02-01,2025,2,Electricidad Red,EDENOR,29305,0,0,3502202,10263081,FALSO
FAC-E-202503,2025-03-01,2025,3,Electricidad Red,EDENOR,31509,0,0,3433315,108181841,FALSO
FAC-E-202504,2025-04-01,2025,4,Electricidad Red,EDENOR,32998,0,0,3433647,113304682,FALSO
FAC-E-202505,2025-05-01,2025,5,Electricidad Red,EDENOR,35052,0,0,3624572,127049903,FALSO
FAC-E-202506,2025-06-01,2025,6,Electricidad Red,EDENOR,34154,0,0,3453166,117939474,FALSO
FAC-E-202507,2025-07-01,2025,7,Electricidad Red,EDENOR,34376,0,0,3474189,119430395,FALSO
FAC-E-202508,2025-08-01,2025,8,Electricidad Red,EDENOR,33031,0,0,3506295,115816616,FALSO
FAC-E-202509,2025-09-01,2025,9,Electricidad Red,EDENOR,31364,0,0,341019,106958795,FALSO
FAC-E-202510,2025-10-01,2025,10,Electricidad Red,EDENOR,29904,0,0,34599,10346313,FALSO
FAC-E-202511,2025-11-01,2025,11,Electricidad Red,EDENOR,26662,0,0,3576377,95353489,FALSO
FAC-E-202512,2025-12-01,2025,12,Electricidad Red,EDENOR,26363,0,0,3504173,92380661,FALSO
FAC-G-201805,2018-05-01,2018,5,Gas Natural,Metrogas,0,0,2964,77817,230619,FALSO
FAC-G-201806,2018-06-01,2018,6,Gas Natural,Metrogas,0,0,3844,79055,303904,FALSO
FAC-G-201807,2018-07-01,2018,7,Gas Natural,Metrogas,0,0,3331,7899,26314,FALSO
FAC-G-201808,2018-08-01,2018,8,Gas Natural,Metrogas,0,0,3044,80648,245488,FALSO
FAC-G-201809,2018-09-01,2018,9,Gas Natural,Metrogas,0,0,2765,83062,229674,FALSO
FAC-G-201905,2019-05-01,2019,5,Gas Natural,Metrogas,0,0,2909,129454,376531,FALSO
FAC-G-201906,2019-06-01,2019,6,Gas Natural,Metrogas,0,0,3446,127508,439343,FALSO
FAC-G-201907,2019-07-01,2019,7,Gas Natural,Metrogas,0,0,3402,131088,445924,FALSO
FAC-G-201908,2019-08-01,2019,8,Gas Natural,Metrogas,0,0,3208,129285,414801,FALSO
FAC-G-201909,2019-09-01,2019,9,Gas Natural,Metrogas,0,0,2714,126332,342832,FALSO
FAC-G-202005,2020-05-01,2020,5,Gas Natural,Metrogas,0,0,3093,144853,448005,FALSO
FAC-G-202006,2020-06-01,2020,6,Gas Natural,Metrogas,0,0,3494,138172,482744,FALSO
FAC-G-202007,2020-07-01,2020,7,Gas Natural,Metrogas,0,0,3832,15127,579632,FALSO
FAC-G-202008,2020-08-01,2020,8,Gas Natural,Metrogas,0,0,3468,140829,488334,FALSO
FAC-G-202009,2020-09-01,2020,9,Gas Natural,Metrogas,0,0,3110,150038,466563,FALSO
FAC-G-202105,2021-05-01,2021,5,Gas Natural,Metrogas,0,0,2898,160375,46479,FALSO
FAC-G-202106,2021-06-01,2021,6,Gas Natural,Metrogas,0,0,2840,159175,45205,FALSO
FAC-G-202107,2021-07-01,2021,7,Gas Natural,Metrogas,0,0,3448,157513,543096,FALSO
FAC-G-202108,2021-08-01,2021,8,Gas Natural,Metrogas,0,0,2878,16684,480141,FALSO
FAC-G-202109,2021-09-01,2021,9,Gas Natural,Metrogas,0,0,2568,162661,417694,FALSO
FAC-G-202205,2022-05-01,2022,5,Gas Natural,Metrogas,0,0,3368,21742,732347,FALSO
FAC-G-202206,2022-06-01,2022,6,Gas Natural,Metrogas,0,0,3310,225351,745985,FALSO
FAC-G-202207,2022-07-01,2022,7,Gas Natural,Metrogas,0,0,3130,225627,706304,FALSO
FAC-G-202208,2022-08-01,2022,8,Gas Natural,Metrogas,0,0,3144,21745,683662,FALSO
FAC-G-202209,2022-09-01,2022,9,Gas Natural,Metrogas,0,0,2675,222308,594611,FALSO
FAC-G-202305,2023-05-01,2023,5,Gas Natural,Metrogas,0,0,3701,484359,1792846,FALSO
FAC-G-202306,2023-06-01,2023,6,Gas Natural,Metrogas,0,0,3217,517517,1664941,FALSO
FAC-G-202307,2023-07-01,2023,7,Gas Natural,Metrogas,0,0,2892,514457,1487802,FALSO
FAC-G-202308,2023-08-01,2023,8,Gas Natural,Metrogas,0,0,3016,520954,1571378,FALSO
FAC-G-202309,2023-09-01,2023,9,Gas Natural,Metrogas,0,0,2877,512446,1474244,FALSO
FAC-G-202405,2024-05-01,2024,5,Gas Natural,Metrogas,0,0,3276,14283,4678961,FALSO
FAC-G-202406,2024-06-01,2024,6,Gas Natural,Metrogas,0,0,3217,1530346,4923122,FALSO
FAC-G-202407,2024-07-01,2024,7,Gas Natural,Metrogas,0,0,3502,1466698,5136027,FALSO
FAC-G-202408,2024-08-01,2024,8,Gas Natural,Metrogas,0,0,3528,1408559,496895,FALSO
FAC-G-202409,2024-09-01,2024,9,Gas Natural,Metrogas,0,0,3017,143259,4321425,FALSO
FAC-G-202505,2025-05-01,2025,5,Gas Natural,Metrogas,0,0,3330,2220847,7394586,FALSO
FAC-G-202506,2025-06-01,2025,6,Gas Natural,Metrogas,0,0,3550,2272345,8067551,FALSO
FAC-G-202507,2025-07-01,2025,7,Gas Natural,Metrogas,0,0,3561,2262022,8055886,FALSO
FAC-G-202508,2025-08-01,2025,8,Gas Natural,Metrogas,0,0,2882,2258653,6510099,FALSO
FAC-G-202509,2025-09-01,2025,9,Gas Natural,Metrogas,0,0,2642,2259318,5968502,FALSO
FAC-S-202207,2022-07-01,2022,7,Panel Solar,Autoconsumo,26475,26475,0,0,0,VERDADERO
FAC-S-202208,2022-08-01,2022,8,Panel Solar,Autoconsumo,28638,28638,0,0,0,VERDADERO
FAC-S-202209,2022-09-01,2022,9,Panel Solar,Autoconsumo,25312,25312,0,0,0,VERDADERO
FAC-S-202210,2022-10-01,2022,10,Panel Solar,Autoconsumo,24812,24812,0,0,0,VERDADERO
FAC-S-202211,2022-11-01,2022,11,Panel Solar,Autoconsumo,26511,26511,0,0,0,VERDADERO
FAC-S-202212,2022-12-01,2022,12,Panel Solar,Autoconsumo,22744,22744,0,0,0,VERDADERO
FAC-S-202301,2023-01-01,2023,1,Panel Solar,Autoconsumo,22198,22198,0,0,0,VERDADERO
FAC-S-202302,2023-02-01,2023,2,Panel Solar,Autoconsumo,25356,25356,0,0,0,VERDADERO
FAC-S-202303,2023-03-01,2023,3,Panel Solar,Autoconsumo,25093,25093,0,0,0,VERDADERO
FAC-S-202304,2023-04-01,2023,4,Panel Solar,Autoconsumo,26859,26859,0,0,0,VERDADERO
FAC-S-202305,2023-05-01,2023,5,Panel Solar,Autoconsumo,27244,27244,0,0,0,VERDADERO
FAC-S-202306,2023-06-01,2023,6,Panel Solar,Autoconsumo,27613,27613,0,0,0,VERDADERO
FAC-S-202307,2023-07-01,2023,7,Panel Solar,Autoconsumo,28250,28250,0,0,0,VERDADERO
FAC-S-202308,2023-08-01,2023,8,Panel Solar,Autoconsumo,24080,24080,0,0,0,VERDADERO
FAC-S-202309,2023-09-01,2023,9,Panel Solar,Autoconsumo,27575,27575,0,0,0,VERDADERO
FAC-S-202310,2023-10-01,2023,10,Panel Solar,Autoconsumo,24590,24590,0,0,0,VERDADERO
FAC-S-202311,2023-11-01,2023,11,Panel Solar,Autoconsumo,23916,23916,0,0,0,VERDADERO
FAC-S-202312,2023-12-01,2023,12,Panel Solar,Autoconsumo,23092,23092,0,0,0,VERDADERO
FAC-S-202401,2024-01-01,2024,1,Panel Solar,Autoconsumo,39507,39507,0,0,0,VERDADERO
FAC-S-202402,2024-02-01,2024,2,Panel Solar,Autoconsumo,39715,39715,0,0,0,VERDADERO
FAC-S-202403,2024-03-01,2024,3,Panel Solar,Autoconsumo,41751,41751,0,0,0,VERDADERO
FAC-S-202404,2024-04-01,2024,4,Panel Solar,Autoconsumo,39870,39870,0,0,0,VERDADERO
FAC-S-202405,2024-05-01,2024,5,Panel Solar,Autoconsumo,40809,40809,0,0,0,VERDADERO
FAC-S-202406,2024-06-01,2024,6,Panel Solar,Autoconsumo,41720,41720,0,0,0,VERDADERO
FAC-S-202407,2024-07-01,2024,7,Panel Solar,Autoconsumo,43879,43879,0,0,0,VERDADERO
FAC-S-202408,2024-08-01,2024,8,Panel Solar,Autoconsumo,40618,40618,0,0,0,VERDADERO
FAC-S-202409,2024-09-01,2024,9,Panel Solar,Autoconsumo,40752,40752,0,0,0,VERDADERO
FAC-S-202410,2024-10-01,2024,10,Panel Solar,Autoconsumo,40384,40384,0,0,0,VERDADERO
FAC-S-202411,2024-11-01,2024,11,Panel Solar,Autoconsumo,36446,36446,0,0,0,VERDADERO
FAC-S-202412,2024-12-01,2024,12,Panel Solar,Autoconsumo,33526,33526,0,0,0,VERDADERO
FAC-S-202501,2025-01-01,2025,1,Panel Solar,Autoconsumo,36115,36115,0,0,0,VERDADERO
FAC-S-202502,2025-02-01,2025,2,Panel Solar,Autoconsumo,35817,35817,0,0,0,VERDADERO
FAC-S-202503,2025-03-01,2025,3,Panel Solar,Autoconsumo,38512,38512,0,0,0,VERDADERO
FAC-S-202504,2025-04-01,2025,4,Panel Solar,Autoconsumo,40331,40331,0,0,0,VERDADERO
FAC-S-202505,2025-05-01,2025,5,Panel Solar,Autoconsumo,42842,42842,0,0,0,VERDADERO
FAC-S-202506,2025-06-01,2025,6,Panel Solar,Autoconsumo,41744,41744,0,0,0,VERDADERO
FAC-S-202507,2025-07-01,2025,7,Panel Solar,Autoconsumo,42016,42016,0,0,0,VERDADERO
FAC-S-202508,2025-08-01,2025,8,Panel Solar,Autoconsumo,40371,40371,0,0,0,VERDADERO
FAC-S-202509,2025-09-01,2025,9,Panel Solar,Autoconsumo,38334,38334,0,0,0,VERDADERO
FAC-S-202510,2025-10-01,2025,10,Panel Solar,Autoconsumo,36549,36549,0,0,0,VERDADERO
FAC-S-202511,2025-11-01,2025,11,Panel Solar,Autoconsumo,32587,32587,0,0,0,VERDADERO
FAC-S-202512,2025-12-01,2025,12,Panel Solar,Autoconsumo,32221,32221,0,0,0,VERDADERO
